Bahnaric,Vietnamese,source,example_id,source_lang,target_lang
"Ndaw guek mizyauq fatmingz conhli mauhgvaq 100 fanh gienh, gisuz gaicawx cienzsoq mauhgvaq 1 fanh ik maenz.",国内有效发明专利拥有量突破100万件，技术交易额超过1万亿元。,government_work_report,91,za,zh
"Gohgi cinbu gunghawj beijlwd hwnjsang daengz 56.2％, gij cozyung cauhmoq daemxcengj fazcanj demgiengz yienhda.",科技进步贡献率上升到56.2%，创新对发展的支撑作用明显增强。,government_work_report,92,za,zh
"Haj dwg coicaenh gak dieg hawsingz lajmbanj boiqhab fazcanj, doengh giz demmaj caeuq doengh rangh dieg demmaj moq de ndaej gyavaiq cauxbaenz.",五是促进区域城乡协调发展，新的增长极增长带加快形成。,government_work_report,93,za,zh
"Haeujlaeg saedhengz sam daih canloz hix couh dwg hwnqguh ""it rangh it loh""、Baekging Denhcinh Hozbwz gapdoengz fazcanj、hwngfat rangh dieg ginghci song henz Dahcangzgyangh, haidoengh hwnqguh buek hanghmoeg cungdenj ndeu.",深入实施“一带一路”建设、京津冀协同发展、长江经济带发展三大战略，启动建设一批重点项目。,government_work_report,94,za,zh
"Bienguh aen ""Cibsam Haj"" gveihva daih haifat Baihsae, saedhengz lingh lwnz moq aen canloz saenqhwng Doengbae, doidoengh Cungqgyang hwnghwnj, haeujcoengh fueng dieg Baihdoeng daiqdaeuz fazcanj.",编制西部大开发“十三五”规划，实施新一轮东北振兴战略，推动中部地区崛起，支持东部地区率先发展。,government_work_report,95,za,zh
"Gyavaiq doicaenh cwngzcinva yienghmoq, gyalaeg gaijgwz huciz cidu, cienzmienh doihengz gihcucwng cidu, youh miz 1600 fanh vunz haeuj hawsingz bae an'gya.",加快推进新型城镇化，深化户籍制度改革，全面推行居住证制度，又有1600万人进城落户。,government_work_report,96,za,zh
Fazcanj aen yauqwngq gapdoengz doxdaeb de mboujduenh yienh okdaeuj.,发展的协同叠加效应不断显现。,government_work_report,97,za,zh
"Roek dwg gyagiengz hwnqguh swnghdai vwnzmingz, saekloeg fazcanj caiq ndaej guh baenaj.",六是加强生态文明建设，绿色发展取得新进展。,government_work_report,98,za,zh
"Ceiqdingh saedhengz aen guhfap bingzgyaq gaujhaed swnghdai vwnzmingz gensez muzbiuh, hwnqguh guekgya swnghdai vwnzmingz siyengih.",制定实施生态文明建设目标评价考核办法，建设国家生态文明试验区。,government_work_report,99,za,zh
"Gyagiengz ceihleix daihheiq uqlah, wyangjvaliuz、danyangjvavuz baizcuengq soqliengh faenbied roengzdaemq 5.6％、4％,74 aen hawsingz cungdenj gij naedfaenx de (PM2.5) moix bi bingzyaenz noengzdoh roengzdaemq 9.1％.",强化大气污染治理，二氧化硫、氮氧化物排放量分别下降5.6%和4%，74个重点城市细颗粒物（PM2.5）年均浓度下降9.1%。,government_work_report,100,za,zh
"Gaijndei gij gezgou nwngzyenz, siuyungh gij nwngzyenz seuqcengh de beijlaeh daezsang 1.7 aen bakfaendiemj, siuyungh meizdan beijlaeh roengzdaemq 2 aen bakfaendiemj.",优化能源结构，清洁能源消费比重提高1.7个百分点，煤炭消费比重下降2个百分点。,government_work_report,101,za,zh
"Doicaenh fuengzceih raemx uqlah, fatbouh saedhengz aen hengzdoengh giva fuengzceih doemnamh uqlah.",推进水污染防治，出台土壤污染防治行动计划。,government_work_report,102,za,zh
"Guh cunghyangh vanzging baujhoh dukcaz, yiemzcaz buek anqgienh vanzging famhfap ndeu, doidoengh le haeujlaeg bae guh hong vanzbauj.",开展中央环境保护督察，严肃查处一批环境违法案件，推动了环保工作深入开展。,government_work_report,103,za,zh
"Caet dwg yawjnaek baujcang caeuq gaijndei gij gwndaenj yinzminz, cungqvunz yinzminz cungj roxnyinh lai ndaej.",七是注重保障和改善民生，人民群众获得感增强。,government_work_report,104,za,zh
"Youq mwh caizcwng soucei atlig gyadaih, douz cienz haeuj yinzminz gwndaenj bae laebdaeb demgya.",在财政收支压力加大情况下，民生投入继续增加。,government_work_report,105,za,zh
"Goengbouh saedhengz gij cwngcwz moq couhnieb cauhnieb, netsaed guh ndei gij hong couhnieb gyoengq vunz cungdenj、fueng dieg cungdenj.",出台新的就业创业政策，扎实做好重点人群、重点地区就业工作。,government_work_report,106,za,zh
