Bahnaric,Vietnamese
"Dak hrơ"" noh 'net truh tơ khei mtfjit; nar ma monh lam khei noh; dom lu kơl kong gơh ’boh bang.","Nước tiếp tục xuống cho đến tháng mười; và ngày mồng một tháng mười, các đỉnh núi xuất hiện."
"Dang ei dơ̆ng. Inh wă kơ ih chih kơthơ kơ kră hnam akŭm 'Bok. Kei-Dei tơ. Pơlei. Thiatir thoi âu: Âu boih. Kon 'Bok. Kei-Dei, 'Bok mă măt sư thoi pla ŭnh, jơ̆ng sư hơdah 'brŭng dreng thoi mam ngơr đe 'buh tơ ŭnh, na sư wă pơma kơ iĕm thoi âu:","Hãy viết cho thiên thần của. Hội. Thánh. Thy-a-ti-ra: Đây là lời của. Con. Thiên. Chúa, Đấng có mắt như ngọn lửa hồng và chân giống như đồng đỏ:"
Dang ei dơ̆ng ih chih kơ kră wei-lăng hnam akŭm tơ. Pơlei. Pêgam thoi âu:. Bok mă đei minh hlak đao han đei 'bar pah măt noh sư wă pơma kơ iĕm thoi âu:,Hãy viết cho thiên thần của. Hội. Thánh. Péc-ga-mô : Đây là lời của Đấng mang thanh gươm hai lưỡi sắc bén:
"Dang ei ih chih kơ kră wei-lăng hnam akŭm tơ. Pơiei. Samina thoi âu:. Bok tơm rơh mă ưh kơ đei layơ tôch, mă lôch iung arih dơ̆ng, sư wă pơma kơ iĕm thoi âu:","Hãy viết cho thiên thần của. Hội. Thánh. Xi-miếc-na: Đây là lời của Đấng là Đầu và là. Cuối, Đấng đã chết và đã sống lại:"
"Dang ei ih chih kơthơ pơtruh kơ kră wei-lăng hnam akŭm 'Bok. Kei-Dei tơ. Pơlei. Laodisê thoi âu: ""Âu boih 'Bok mă 'lơ̆ng tơpăt ling-lang, sư pơma tơpăt ngăl tơpă. sư boih mă 'Bok. Kei. Dei yua đơ̆ng sơ̆ wă pơjing tôm tơdrong, sư wă poYna kơ iĕm tơdrong âu:","Hãy viết cho thiên thần của. Hội. Thánh. Lao-đi-ki-a: Đây là lời của Đấng. A-men, là. Chứng. Nhân trung thành và chân thật, là. Khởi. Nguyên của mọi loài. Thiên. Chúa tạo dựng."
"Dang ei ih chih kơthơ pơtruh kơ kră wei-lăng hnarri akŭm 'Bok. Kei-Dei tơ. Pơlei. Philadêphi thoi âu: ""Âu boih 'Bok mă 'lơ̆ng tơpăt, sư chĕp khuă 'bok pơtao Đawit, sư gơh pơih 'măng ăn kŏ iĕm mơ̆t, ưh kơ đei bu gơh tang chơkăl dơ̆ng, sư tang 'măng ưh kơ đei bu gơh pơih dơ̆ng, na dang ei sư wă pơma kơ iĕm thoi âu:","Hãy viết cho thiên thần của. Hội. Thánh. Phi-la-đen-phi a: Đây là lời của Đấng. Thánh, Đấng. Chân. Thật, Đấng giữ chìa khoá vua Đa-vít,. Người mở ra thì không ai đóng lại được,. Người đóng lại thì không ai mở ra được."
Dei nOr. Kra. Yang khan ko inh:,Có lời Ðức. Chúa phán với tôi:
"Dtfng rong kef noh dunh tefpa, na yong lu stf brok lang lu stf mtfdro sa ham dei leri tfh.",ông chủ đến tính sổ với các đầy tớ và thanh toán sổ sách với họ
"Hăp prah pơhẽch mir bỡn bơih"", anhons. Ru pơma, inh rò sư oei bích kơchôt lăm mum sơlũng, mờng nờr bro brẽk.","Nó bắn nát rẫy mình rồi"", anh. Ru nói, hình như anh đang nằm co dưới góc hầm, giọng run lẩy bẩy."
"Ih chih kơthơ âu kơ kră wei-lăng hnam akŭm 'Bok. Kei-Dei tơ. Pơlei Êphêsô thoi âu: 'Bok mâ chĕp tơpơh tŏ sơnglŏng tơ ti 'ma sư, mă sư nơnăm lăm tŏk-bŏk jơ̆ng kơđeng maih noh sư wă pơmă kơ iĕm thoi âu:","Hãy viết cho thiên thần của. Hội. Thánh Ê-phê-xô: Đây là lời của Đấng cầm trong tay hữu bảy vì sao, Đấng đi giữa bảy cây đèn vàng:"
"Iĕm 'nĕ tam pơrăm teh, đak dơsĭ, lu 'long, gô nhôn chơ̆m đŏng yâu tôm kơ klĕng lu đĭch đam. Kră. Yang bơ̆n 'mơi."".","rằng: ""Xin đừng phá hại đất liền, biển cả và cây cối, trước khi chúng tôi đóng ấn trên trán các tôi tớ của. Thiên. Chúa chúng ta""."
"Khĩ ră, khĩ rã"".","Không sao, không sao"
"Lu sư kơtơ̆ng. Yĕsu khan wă jur dơ̆ng mă lei tơ yơ 'bôh? Lu yă bok bơ̆n lŏch đĭ-đăng boih, mă-lei tôm tơdrong oei hơnơ̆ng lei-lăi thoi plĕnh teh 'nao pơjing sơ̆ đĕch."".","Họ nói: ""Đâu rồi lời. Người hứa sẽ quang lâm? Vì từ ngày các bậc cha ông an nghỉ, mọi sự vẫn y nguyên như khi trời đất mới được tạo thành."""
Mơjĭt tŏ ake -sư noh wă pơtih gia kơ mơjĭt 'nu pơtao đơ̆ng rô̆ng wă pơgơ̆r hơdai hăm sơ; ină lu sư pơgơ̆r ưh kơ đunh ôh dangkơ minh jơ đĕch.,"Mười sừng ông đã thấy, là mười vua; chúng chưa nhận được vương quyền, và sẽ nhận được quyền làm vua với. Con. Thú, trong vòng một giờ."
"Na dang ei dơ̆ng ih chih kơthơ ăn kơ kră wei-lăng hnam akŭm 'Bok. Kei-Dei tơ. Pơlei. Sadis, ih chih kơ sư thoi âu: .Âu boih 'Bok mă đei minh 'nu. Yang. Bơhngol 'Lơ̆ng mă dang tơpơh 'nu, mă sư chĕp tơpơh tŏ sơnglŏng tơ tơpang ti sư noh, na dang, ei sư wă pơma kơ iĕm thoi âu:. Inh băt mơ̆n dôm tơdrong lui iĕm thoi yơ. Đĭ-đăng bơngai ư-ang kơ iĕm khan iĕm bơngai lui kơjăp; mă tơpă iĕm rơdu dêh dang bơngai wă kơtĕch jơhngơ̆m wă lôch.","Hãy viết cho thiên thần của. Hội. Thánh. Xác-đê. Đây là lời của Đấng có bảy. Thần. Khí. Thiên. Chúa và bảy ngôi sao:. Ta biết các việc ngươi làm, biết ngươi được tiếng là đang sống, mà thực ra đã chết."
"Na tơdrong âu iĕm athei tơchĕng mă rihên:. Tơpơh tŏ kơ̆l noh wă khan, tơpơh tŏ dơng groi cham char bơngai đi oei.",Đây là lúc cần phải có trí thông minh cùng với sự khôn ngoan. Bảy đầu là bảy quả núi trên đó người đàn bà ngồi.
"Ning-mônh. Inh wă pojing tơdrong pơgơ̆p 'nao kơ lu bơngai. Isơrael thoi âu:. Inh wă tah tơdrong juăt. Inh pơkă tơ lăm jơhngơ̆m lu sư, . Inh wă chih tơ'băk tơdrong juăt. Inh tơ lăm đon tơchĕng lu sư. Tơdrong noh boih. Kră. Yang khan."" '.","Đây là giao ước. Ta sẽ lập với chúng sau những ngày đó, thì Đức. Chúa phán:. Ta sẽ ghi vào tâm khảm chúng, sẽ khắc vào lòng trí chúng lề luật của. Ta."
O lBei ndY. Kra. Yang khan kef inh:,Có lời Ðức. Chúa phán với tôi rằng:
Pơlei noh ưh kơ kăl kơ măt năr dah khei pơchrang ho'dah ăn ôh. yua kơ tơdrong mơsêh 'Bok. Kei-Dei hăm. Kon. Triu pơchrang ăn hơdah boih.,"Thành chẳng cần mặt trời mặt trăng chiếu sáng, vì đã có vinh quang. Thiên. Chúa toả rạng, và. Con. Chiên là ngọn đèn chiếu soi."
"Srôp akăn"" inh rố năng tam iõk akan ưh, inh pơwao đởng ei tơl:","Bắt vợ"" có lẽ là lấy vợ đây, tôi nghĩ và trả lời:"
"Sơlah solang... du kĩch sơlah solang... o... solah solang... o solah solah solang... solah solang"".","Tan hoang... Du kích tan hoang... ờ... Tan hoang ờ tan hoang... tàn hoang""."
"Sư ưh kơ đei pơm minh tơdrong yoch kiơ, păng sư ưh kơ đei layơ hơlĕnh kơ đe.?",Người không hề phạm tội; chẳng ai thấy miệng. Người nói một lời gian dối.
"Trô̆ boih lu sư khan thoi noh. Bơnê kơ. Ih. Kră. Yang nhôn 'Bok. Kei-Dei. Ih 'lơng rŏ mơsêh mơyang pran tih hlôh wao tôm tơdrong, na trô̆ kơ nhôn lui yom păng ư-ang. Ih ling-lang ưh kơ layơ tôch. A-men."".","rằng: ""A-men! Xin kính dâng. Thiên. Chúa chúng ta lời chúc tụng và vinh quang, sự khôn ngoan và lời tạ ơn, danh dự, uy quyền và sức mạnh, đến muôn thuở muôn đời! A-men! """
"Tổ bá. Phời"" wă khan khui kơtum kơtỏns anhons oh inh âu.","Tổ bá. Phới"" tức là nhóm bà con anh em chúng tôi đây."
"ơ 'Bok. Kei-Dei. Kră. Yang, pôm. Ih đĕch mơsêh na trô̆ kơ nhôn lui yom păng ư-ang' kơ. Ih tơpă, ỳua kơ. Ih gơh pơjing kơdih.lăm tôm tơdrong. j. Mă tôm tơdrong kiơ yua kơ. Ih wă na. Ih pojing hloi."". Hla bơạrpăngKon. Triu.","Lạy. Chúa là. Thiên. Chúa chúng con,. Ngài xứng đáng lãnh nhận vinh quang, danh dự và uy quyền, vì. Ngài đã dựng nên muôn vật, và do ý. Ngài muốn, mọi loài liền có và được dựng nên."""
Apôlê năm tơ. PơleLÊphêsô bơtho tơ hnam akũm bơngai. Juđê. sư bơtho kữm nuih tơpă mởn. Lăp. Prisil păng. Akila mỡng sư bơtho bre sư anhăk ba sư truh tơ hnam bre sư. Bre sư bơtho ãn kơ. Apôlê tơdrong ’Bok. Kei-Dei wă kơ sư hlôh băt tôm ‘biở.,"Vậy, người khởi-sự giảng cách dạn-dĩ trong nhà hội. Bê- rít-sin và. A-qui-la nghe giảng, bèn đem người về với mình, gỉải-bằy đạo Đức. Chúa. Trời cho càng kỹ-lường hơn nữa."
'BOK. KLA. PANG. KOP.,HỔ. VÀ. RÙA
"'BOK. RƠH,DĂM. H3ỦT. PĂNG. YĂ. KƯ-KE.","BÓT. RO,. CHÀNG. HRIT. VÀ. BÀ. CU-KÉ"
"'Ba hơ'bo 'bok. Rơh pơtăm đĭ hơdrông sa tâng ưh noh kon kiek bri paĭ khâr, ưh noh trŏ phang pơđăng lăng.","Lúa bắp nhà lào trồng, hết bị sâu cắn thì bị thú rừng phá hoại, không bị thú rừng phá hoại thì bị đói nắng khát mưa."
"'Ba hơ'bo hăp pơtăm hon jing wơ 'bơ'blut thoi đe hlôm, lơlan să hloh kơ pêng puân 'măng hơdroi.","Lúa bắp của. Hrit trồng mọc tốt như thổi, lan rộng gấp đôi gấp ba so với lúc mới trồng."
'Bar 'blah hơar kok 'nâu 'nŏh mŏ.,Hai tập giấy trắng này của chị
"'Bar 'nu bre sư kư̆m pơgơ̆p pơkă 'bơ̆t anăp. Kră. Yang; na Đawit oei lăm. Hơres dơ̆ng, gah. Jônathan wih brŏk tơ hnam sư.","Hai người cùng lập giao ước tại trước mặt Đức. Giê-hô-va; đoạn, Đa-vít ở lại trong rừng, còn. Giô-na-than trở về nhà mình."
'Bar 'nu bơngai hŏk pơhrăm.,Hai học sinh
"'Bar 'nu kon drŏ-nglo. Hêli jing bơngai kơnê̆ tơpă, bre sư ưh kơ băt hli yom kơ. Kră. Yang.","Hai con trai của. Hê-li là người gian tà, chẳng nhận biết Đức. Giê-hô-va."
'Bar me mơnuih pơxrăm.,Hai học sinh
Bar sâp blăh hơ ar kŏk hâu 'nŏh mŏ.,Hai tập giấy trắng này của chị
'Bar tŏ 'long prit.,Hai cây chuối
"'Bar tŏ hla ar kok ""'noh mŏ"".",Hai tập giấy trắng này của chị
'Bar tŏ keng păng hu.,Hai ống loa bằng bạc
'Bar tŏ kon angông.,Hai con ngỗng
'Bar tŏ kon kơpô.,Hai con trâu
'Bar tŏ kon sim.,Hai con ngỗng
'Bar tŏ kơ 'bang.,Hai cái bàn
'Bar tŏ kơ pô.,Hai con trâu
'Bar tŏ kơbang.,Hai cái bàn
"'Bar tŏ rơmo hor gre yak tơpăt tơ rok trong pơlei. Bêt. Sêmes, ưh kơ weh tơ 'ma dah tơ 'ngiĕo. Lu kră pơgơ̆r bơngai. Philistin kiơ̆ lăng đơ̆ng rŏng truh tơ hơdral pơlei. Bet. Semes.","Hai con bò cái đi thẳng theo đường về. Bết-Sê-mết, vừa đi vừa rống, không xây bên hữu, cũng không xây bên tả. Các quan trưởng dân. Phi-li-tin đi theo nó cho đến bờ cõi. Bết-Sê-mết."
'Bar tŏ trong ngong.,Hai con ngỗng
'Bar tơm prit.,Hai cây chuối
'Bar xâp hla bar kokâu po mơmei.,Hai tập giấy trắng này của chị
"'Bar-jĭt puăn 'nu lu đe kră mă oei tơ tang dŏ tăp dăr kơ 'Bok. Kei-Dei 'nap kơkuh kơ 'Bok. Kei-Dei,.","Hai mươi bốn vị. Kỳ. Mục ngồi trên ngai trước nhan. Thiên. Chúa, liền sấp mặt xuống, phủ phục mà thờ lạy. Thiên. Chúa."
'Bih pơjei păng kon bơngai wă gơh erih sot đunh.,Rắn muốn tranh người để được sông lâu.
'Bik tơ kơmăng.,Nằm màn
'Blă 'noh đei lep păr tŏk kiơ̆ 'nhui lĕch đơng sơlŭng noh năm jơ̆p-jang kơ teh đak. Lep noh gơh sôch thoi aguăt.,"Từ đám khói ấy, châu chấu bay ra khắp mặt đất. Chúng nhận được quyền phép như quyền phép của bọ cạp trên mặt đất."
'Blă kơ noh lăm jơhngơ̆m sư hmach kơdih yua kơ kăt iŏk tơdrơi ao pơtao.,"Đoạn, lòng người tự trách về điều mình đã cắt vạt áo tơi của vua."
'Blŏk. Hơdơ̆r. Kơ. Năr. Giĕng. Năm. Brih.,Giữ lễ vượt-qua tại đồng vắng. Si-na-i
'Bo lah oh!,"Thôi em, đừng hỏi nữa làm gì"
"'Bo lê̆ tơnoh,. Giông.","Thôi kệ,. Giông à."
"'Bok 'noh pơma thoi noh ră mă-lei lu sư ưh kơ mơ̆ng ôh; đơ̆ng noh bơngai tơmoi ei iŏk akăn kơnhŏng sư tơlơ̆ tơ 'nguaih ăn kơ lu sư; lu sư pơm kơnê̆ pơ'brơh kơ drŏ-kăn ei prăt măng truh tơ pơgê, kơplah 'năr wă lĕch lu sư achăng bơngai drŏ-kăn noh.","Song những kẻ đó không khứng nghe người. Người khách bèn bắt vợ bé mình dẫn ra ngoài cho chúng, chúng biết nàng, lăng nhục nàng trọn đêm cho đến sáng; rồi đuổi nàng về khi rạng đông."
"'Bok ;Kei-Dei mă' oei tơ tang-dŏ khan: ""Inh pơjing tôm tơdrong 'nao."" sư wih khan dơ̆ng kơ inh thoi âu: ""Ih chih răk lê̆ dôm tơdrong. Inh pơma, yua kơ tơdrong âu sĭt gô đei tơpă iĕm gơh lui."".","Đấng ngự trên ngai phán: ""Này đây. Ta đổi mới mọi sự."". Rồi. Người phán: ""Ngươi hãy viết: Đây là những lời đáng tin cậy và chân thật."""
"'Bok. Abel sơ̆ yua kơ sư đei đon lui, na sư soi kơ 'Bok. Kei-Dei trŏ thoi ?Bok. Kei-Dei lăp đon. Gah 'nhŏng sư. Kain sư soi ưh kơ trŏ ôh, .na 'Bok. Kei-DĕỊ ưh .kơ lăp đon kơ sư. 'Bok. Abel sư đei đon lui tơpă, na 'Bok. Kei-Dei jô̆ sư bơngai 'lơ̆ng. Thoi noh na 'Bok. Kei-Dei lăp đon kơ tơdrong sư soi noh. 'Bok. Abel lôch boih, mă-lei đe oei ư-ang sư truh dang ei yua kơ sư đei đon lui. ;.","Nhờ đức tin, ông. A-ben đã dâng lên. Thiên. Chúa một hy lễ cao quý hơn hy lễ của ông. Ca-in: nhờ tin như vậy, ông. A-ben đã được chứng nhận là người công chính, bởi vì. Thiên. Chúa đã chấp nhận những lễ phẩm ông dâng. Và cũng nhờ tin như thế, mà tuy đã chết rồi, ông vẫn còn lên tiếng."
"'Bok. Bôt krê boih chă trong wă kơdâu ôn, chŏng tam hơmau đưk kơ'nơl jâng plenh teh jing măng mu glĭp glăp.",Ria tuôn được ít nước nào đều bị rồng cuốn sạch.
"'Bok. Bôt oei srơ srang kơtă ăi bre bă kon truh rôp chô̆ hloi chŏng bĭ pơlôch, to'nglaih lê̆ hăp păng tơtă;.","Ria hoảng hốt định tìm đường tháo lui, nhưng chưa kịp trở gót, thì trời đất tối tãm mù mịt."
"'Bok. Bôt pă kĕ sĭk mĭl sơkat pơm ŭnh sa puân pah dêh, bre bă kon duh bĭ mơn 'yŭ, pôm pơma kơdih làm to "" kuă kiơ đei đak 'mi jur chruih pơđĭ ŭnh"" hơdrĕl noh đei 'mi ruih.","Cha con gấu không hề nao núng, chỉ lẩm bẩm mấy câu làm phù chú là nước đổ xuống như mưa."
'Bok. Jrot. Mam tơl dơ̆ng:,Ông. Jrot. Mam lại nói:
"'Bok. Jrot. Mam, anhŏng kơ. Set, tơring gah kơpơ̆ng kơtơ̆ng đe pơră oh hăp jĭ, năm hơpong. Set.","Ông. Jrot. Mam, anh trai ông. Set, ở làng vùng trên nghe người ta nói ông. Set đau ốm, nằm liệt một chỗ thì vội vàng đến thăm ông. Set."
'Bok. Kei. Dei wă kơ bơn 'mêm kơ sư tơpă wă kơ bơn huay kơ hli kơplah năr sư wă sek tơiang ning-mônh. Bơ̆n ưh kơ hli kơlih kơ bơ̆n oei arih tơ ala teh âu dang ei kư̆m lei-lăi thoi. Yêsu arih mơ̆n.,"Căn cứ vào điều này mà tình yêu đã nên hoàn hảo với chúng ta: đó là chúng ta được mạnh dạn trong ngày phán xét, vì Đức. Giê-su thế nào thì chúng ta cũng như vậy ở thế gian này."
"'Bok. Kei-Dei 'bôh lu sư ling-lang pơma 'lơ̆ng.ưh kơ đei pơma hơlĕnh hơya tŏ sĕt, yua kơ lu sưjing bơngai rơgoh 'lŏng boih. Linh jangpăr tôk-bŏk rơwơ̆ng bơtho đe.",Chẳng ai thấy miệng họ nói dối: không ai chê trách họ được. Ba thiên thần báo giờ phán xét
"'Bok. Kei-Dei 'mêm mơnat kơ bơ̆n tơpă ha sư pơklaih bơ̆n đơ̆ng tơdrong yoch păng sưjô̆ bơ̆n bơngai 'lơ̆ng păng sư boih. sư ăn kơ bơ̆n jing kon sư, na bơ̆n arih ling-lang păng sư ning-mônh.","Như vậy, một khi nên công chính nhờ ân sủng của Đức. Ki tô, chúng ta được thừa hưởng sự sống đời đời, như chúng ta vẫn hy vọng."
"'Bok. Kei-Dei. Kră. Yang tih hloh kơ đĭ đăng păng pơgơ̆r tôm tĕch tơdrong, sư đei đơ̆ng sơ̆ khơ̆ dang ei, mă gô jur ning mônh, sư khan thoi âu: ""Inh thoi chư. A, jĭ blung-a kơla chă hơdrol kơ đĭ-đăng lăm dôm tơdrong. Păng. Inh kư̆m thoi chư. Y, .tuch-luch năr tôch kư̆m oei đei. Inh."". Yôhan Ĩĭôh. Yêsu.","Đức. Chúa là. Thiên. Chúa phán: ""Ta là. An-pha và Ô mê-ga, là Đấng hiện có, đã có và đang đến, là Đấng. Toàn. Năng."". Thị kiến mở đầu"
"'Bok. Kei-Dei gô phak lu sư tơpă yua kơ lu sư pơm thoi 'bok. Kain sơ. Lu sư băt pôm tơdrong pơhlŭ đe wâ kơ sa jên đe apah, thoi 'bok 'Balam sơ. Lu đe âu ưh kơ chu kơ yŏng sư pơgơ̆r, thoi 'bok. Kôrê sơ jing răm hloi.","Khốn cho họ, bởi họ đi vào con đường của. Ca-in; vì chút tiền công, họ đã ngã theo sự lầm lạc của. Bi-lơ-am, và bị diệt vong vì làm loạn như. Cô-rắc."
"'Bok. Kei-Dei jô̆ đĭ-đăng kơ lu sư đei đon lui kơiăp, mă-lei:'kơplah lu sư oei tơ teh sơ, lu sư ưh tam mă đei tơdrong 'Bok. Kei-Dei pơkă ôh.","Nhờ đức tin, tất cả các nhân vật đó đã được chứng giám, thế mà họ không đạt được những điều. Thiên. Chúa đã hứa."
'Bok. Kei-Dei khan tơbăt ăn kơ bơ̆n băt kơ sư 'mêm monat kơ bơ̆n tơpă wă pơklaih đĭ-đăng bơngai đơ̆ng tơdrong yoch.,"Quả thế, ân sủng của. Thiên. Chúa đã được biểu lộ, đem ơn cứu độ đến cho mọi người."
"'Bok. Kei-Dei khan: ‘ơ lu iẽm bơngai che bơle kơ. Inh, iẽm lăng, iẽm gô sơleng kơ đon, pă tam băt.kơnh iẽm lôch. Inh pơm tơdrong mơsêh mơyang làm » chăl iẽm arih, đe gô roi kơ ièm tơdrong noh, mã- lei iẽm ưh kơ wă lui.’”.","Hỡi kẻ hay khinh-dể kia, khá xemxét, sợ-hãi và biến mắt đi;,a). Vì ưong đời cảc ngươi, ta sẽ làm một việc,. Nếu có ai thuật lại cho, các ngươi cũng chẳng tin"
"'Bok. Kei-Dei krao iŏk bơ̆n wă kơ bơ̆n iô̆k jơhngơ̆m đon dim gơh găt kuă ăn pơm kơnê̆ kơ đe mă khan đe pơm kơnê̆ kơ bơ̆n. Yêsu. Krist đei tơdrong gleh pơmat-tat thoi noh mơ̆n sơ̆ yua wă tơgŭm bơ̆n. Mă-lei-sư ưh kơ đei pơm kơnê̆ kơ đe ôh, sư pơm ttong wă kơ bơ̆n rok kiơ̆ sư.","Anh em được. Thiên. Chúa gọi để sống như thế. Thật vậy, Đức. Ki-tô đã chịu đau khổ vì anh em, để lại một gương mẫu cho anh em dõi bước theo. Người."
"'Bok. Kei-Dei kư̆m pơkă kơ bơ̆n gơh mơ̆t pơdơh tơ dêh char sư, thoi noh na bơ̆n athei kơchăng tơpă hli kơ bơ̆n lê̆ tơdrong lui, sư ưh kơ ăn mơ̆t.","Vậy chúng ta phải sợ rằng trong khi lời hứa được vào chốn yên nghỉ của. Người vẫn còn đó, mà có ai trong anh em bị coi đã mất cơ hội."
"'Bok. Kei-Dei oei hăm bŏn, ăn kơ bơ̆n hiôk-hian. sư toĭưng arih. Yŏng bơ̆n. Yêsu. Krist, 'Bok tnă wei triu 'lŏng rŏ tơpă, yua kơ 'Bok noh soi kơ 'Bok. Kei-Dei pham sư kơdih wă pơgơ̆p bơ̆n hăm 'Bok. Kei-Dei ling lang.","Thiên. Chúa là nguồn mạch bình an đã đưa Đức. Giê su,. Chúa chúng ta ra khỏi cái chết. Đức. Giê-su là vị. Mục. Tử cao cả của đoàn chiên, là Đấng đã đổ máu mình ra để thiết lập giao ước vĩnh cửu."
"'Bok. Kei-Dei pơjing tôm tơdrong. Tôm tơdrong sư pojing, noh sư wă kơ đe ư-ang kơ sư. Thoi noh na trô̆ kơ sư ăn kơ. Yêsu đei tơdrong pơmat-tat, wă kơ. Yêsu iŏk tôm tơdrong thoi kon bơngai bơ̆n wă kơ sư gơh anhăk ba lơ bơngai klaih đơ̆ng tơdrong yoch. Thoi noh na đĭ-đăng lu kon sư nai kư̆m hiôk lei-lăi thoi. Yêsu.","Quả thế,. Thiên. Chúa là nguồn gốc và cùng đích mọi loài, chính vì muốn đưa muôn vàn con cái đến vinh quang, nên. Người đã làm một việc thích đáng, là cho Đức. Giê-su trải qua gian khổ mà trở thành vị lãnh đạo thập toàn, dẫn đưa họ tới nguồn ơn cứu độ."
"'Bok. Kei-Dei pơkă wă tơgŭm bơ̆n tơ̆drohg noh, sư pao anăn sư kơdih hloi; ha bơ̆n băt kơ tơdrong sư pơkă noh sư ưh kơ gơh lê̆ ôh, yua kơ̆sư ưh kơiah hơlĕnh. Thoi noh na lu bơ̆n mă kơdâu kơhơ̆p tơ akâu sư, bơ̆n băt kơ. Sư wă tơgŭm bơ̆n tơpă.","Như vậy, cả lời hứa lẫn lời thề đều bất di bất dịch, và khi thề hứa,. Thiên. Chúa không thể nói dối được. Do đó, chúng ta là những kẻ ẩn náu bên. Thiên. Chúa, chúng ta được mạnh mẽ khuyến khích nắm giữ niềm hy vọng dành cho chúng ta."
