Bahnaric,Vietnamese
"Lu stf 'boh to’drong tefboh ho'lenh pang pefm pojau towir tfh ko tro; lu stf khan. Kra. Yang khan thoi au, ma-lei. Kr3. Yang tfh ktf dei wtfh lu stf; na lu stf htfptfi wa ktf noT lu stf khan noh go dei sit.","Chúng thuật lại những thị kiến hão huyền và những lời sấm dối trá, lại còn dám nói: ""Sấm ngôn của Ðức. Chúa."". Nhưng Ðức. Chúa đâu có sai chúng đi; chúng mong đợi. Người thực hiện lời chúng nói."
"“Dah bu song iok bongai 'Idp au yua ko bongai 'Idp au lui ko. Inh, sif 'noh dang song iok. Inh.","Ai tiếp đón một em nhỏ như em này vì danh. Thầy, là tiếp đón chính. Thầy;"
kăl.,phá
Kơ bang đơng bơngai hơmet 'long pơm đang.,Chiếc bàn đã được người thợ mộc đóng xong
Yă kiơ oẽi iẽ akâu găm. Truh tơdăm akar bôk?,"Trẻ da xanh, trưởng thành da trắng?"
"Lu kông pơpỡ 'bỡt anăp sư, lu groi gô hach hiong; teh đak păng lu kon bơngai oei kơpal teh đak, đĩ-đăng kon bơngai jờp kơ teh đak rung răng.","Trước nhan. Người, núi chuyển rung và đồi tan chảy; trước nhan. Người, mặt đất chấn động, cùng với hoàn cầu và toàn thể dân cư."
Kon. Pơlei. Matmêna kơdâu ôn. Lu bơngai oei lăm pơlei. Gêbim kơdâu chă anih ôn kơ'nơp.,"Mát-mê-na đi trốn, dân cư. Ghê-vim tìm nơi trú ẩn."
"Rim ’nu bongai jing boltik tfh ko bat tOdrong kief:. Lu.bongai hling rup yang ham maih go molau dong rup yang stf, yua ko rup lu stf man tfh ko sit cha holenh dech, tfh kodei kial dui jOhngOm.","Mọi người đều ngu xuẩn, không hiểu biết chi, thợ bạc nào cũng xấu hổ vì tượng thần của nó, tượng nó đúc ra là vật hão huyền, không có hơi thở!"
"Bă năng ho, tơmam đe chro nĕ iŏk.","Khi họ đưa ra vật gì đó cho cha thì cha chớ lấy vội, đừng sờ vội, đừng sờ tới, hãy đợi họ nói như thế nào đã."
"yua kơ đĭ-đăng bơ̆n ning-mônh gô dơ̆ng 'bơ̆t anăp. Yêsu. Krist sek tơlang kiơ̆ kơ akâu bơ̆n pơm 'lơ̆ng dah pơm kơnê̆,. Sư apah kiơ̆ thoi noh.","Vì tất cả chúng ta đều phải được đưa ra ánh sáng, trước toà Đức. Ki-tô, để mỗi người lãnh nhận những gì tương xứng với các việc tốt hay xấu đã làm, khi còn ở trong thân xác."
De pong poldch. Yesu to long pcrglang.,Đường lên. Gôn-gô-tha (Mt 27: 32 -33; Lc 23: 26. 33; Ga 19: 16 b-17 )
năk.,cắm
Lu bomgai. Juda nam truh tor. Hebron tor noh na lu stf tuh dak rorma kor. Dawit pok stf pom portao bomgai. Juda.. De nam roi an kor. Dawit “Kon porlei. Jabes. Gileat 'bu hoftnet. Sol.”.,"Người. Giu-đa kéo đến, và tại đó, họ xức dầu tấn phong ông Ða-vít làm vua nhà. Giu-đa."
"Tơpă, adrol kơ đơ̆ng đei khei năr sơ̆,. Inh bơih. Kră. Yang 'Bok. Kei-Dei, ưh kơ đei bu gơh iŏk tơgar đơ̆ng ti. Inh. Mưh. Inh pơm, ưh kơ đei bu gơh pơgăn. Inh.","tự muôn đời,. Ta vẫn là. Ta: không ai cứu thoát khỏi tay. Ta,. Ta đã làm, ai dám làm ngược lại? Chống lại. Ba-by-lon (Ba-ben)"
krăm.,chìm
"Gơh alơ̆ng thoi yơ, đon bơnôh tô̆ hĭr ling lang, tô̆ hang măng năr, tơchĕng tôm tơdrong hơrih ưh kơ đei xô̆ xôn.","Bà bia. Sĭn không thể nào vui được. Trong tim gan bà nóng bừng như lửa đốt. Nghĩ đến những chuyện đó, trong lòng bà luôn luôn buồn đau, không cách nào mà vui nổi."
"Ah, đỡng rống kơ. Gom. Iă,. Gom lung lôch ani, brep gô năng ră lìli hiă chă đei bơngai nai chă dõng dốTig ră kữm ưh pă đei bơih.","Rồi, sau khi cái chết của. Gom. Iă,. Gom lung, hai người đợi thừ xem có ai khác đi cứu hay trả thù, nhưng chẳng thấy ai đến;"
Na lu bơngai oei mơ̆ng lăm hnam akŭm ei kơtơ̆ng thoi noh na đĭ-đăng kơ lu sư hil areh kơ. Yêsu tơpă.,"Nghe vậy, mọi người trong hội đường đầy phẫn nộ."
Đawit tơl:. Inh đei pơm kiơ? 'Noh inh wă apinh lăng đĕch!,"Đa-vít đáp rằng:. Vậy, tôi có làm chi đâu? Ấy chỉ là một câu hỏi thôi!"
"Noh lu 'bok khan le adrol. Istfrael dei khan 1£ adrol ktf ptflei. Jerusalem ‘boh ttfdrong ttf'boh hiok-hianj m3 tfh ktf dei hiok-hian kitf,. Kra. Yang. Tih. Hloh dei khan thoi noh.’.","là các ngôn sứ của Ít-ra-en đã tuyên sấm về. Giê-ru-sa_x0002_lem và có những thị kiến hoà bình về nó, mà chẳng có hoà bình - sấm ngôn của Ðức. Chúa là. Chúa. Thượng."
Iŭ kơ̆l hmĕnh tơdăr.,Chớ nói nhiều kẻo nói không đúng.
"Yua kơ. Kră. Yang gô tơiung dờng tơdrong ư-ang. Jakôp, thoi tơdrong ư-ang. Isơrael, đỡng lu bơngai mă blah pơgỗ pơđep lu sư păng pơrăm lễ boih dơng hơmu sư.","Phải, Ðức. Chúa khiến cho. Gia-cóp và Ít-ra-en lấy lại sức kiêu hùng. Bọn cướp đã tàn phá, lại còn phá huỷ cả các nhành nho."
Pơyô ih 'lơ̆ng hloh kơ pơyô đe nai hă? Ơ bơngai 'lơ̆ng guăng hloh lăm lu adruh? Pơyô ih đei kiơ 'lơ̆ng kơ pơyô đe nai? Na ih mah pơkă kơ nhôn thoi noh?,"Hỡi người xinh-đẹp hơn hết trong các người nữ, lương-nhân của chị có gì hơn lương-nhân khác? Lương-nhân của chị có gì hơn lương-nhàn khác? Mà chị ép-nài chúng tôi dường ấy?"
"Mưh rim wờt lu trĩu bek kiỡ akăn, ha. Jakop .dan lu dơng 'long noh 'bờt ala tơklă măt lăm bơng đaknhă, wă kơ lu trĩu lăng tơ dơng 'long noh na kiỡ akăn.","Mỗi khi các con vật khoẻ giao nhau, thì ông. Gia-cóp đặt các cành vào trong máng, trước mắt chúng, để chúng giao nhau trước các cành đó."
Lu iĕm gơh pơyơ̆r tơmam soi noh ăn kơ. Kră. Yang thoi tơmam soi pơyơ̆r plei blŭng-a. Mă-lei iĕm 'nĕ kơ 'buh tơ ŭnh tơ kơpal chơnang soi thoi tơmam soi đei ’bâu phu.,Các ngươi được dâng những vật đó cho Đức. Giê-hô-va như của-lễ đầu mùa; nhưng chẳng nên đốt trên bàn-thờ như của-lễ có mùi thơm.
"Muh su uat, boh plei poih blak toset dang ei djrep bre yua ka haangiet cheng ka bonev.","Khi cô bước, bắp vế lấp loáng trắng hiện ra râ""t nhanh và được khép lại bởi đường xẻ chéo phía trước của thân váy"
"T ởng khan bỗk j ỡng hoh leng hơnõk truh tơ 3,4 măng kơ trong.",Nếu di bộ thì phải ngủ dọc đường khoảng 34 đêm mới tới nơi
"Le ktf inh pom kef bon peng to befsun; minh pom pom ktf. Ih, minh pom pom kef. Mois, minh pom pom kef. Eli.","Nếu. Ngài muốn, con xin dựng tại đây ba cái lều, một cho. Ngài, một cho ông. Mô-sê, và một cho ông Ê-li-a."""
Ka glơi hơ la đak.,Cá bơi dưới nước
"Kră. Yang khan; Yua kơ thoi noh na truh tơ ei kơnh đe ưh pă krao boih. Tôphet păng. Thŭng. Ben. Hinôm, mă-lei krao. Thŭng. Tơkoh tơ'bet băl; yua kơ lu sư gô 'bŭ bơngai lôch tơ. Tôphet dĭng mah anih pă đei.","Vì thế những ngày đoán phạt chắc chắn sẽ đến,”. CHÚA phán. “Khi ấy người ta sẽ không còn gọi nơi đó là. Tô-phết hay. Thung. Lũng của. Con. Trai. Hin-nôm nữa, nhưng họ sẽ gọi nó là. Thung. Lũng. Bị. Tàn. Sát, vì người ta sẽ chôn thây người chết ở. Tô-phết cho đến khi hết chỗ để chôn"
Kra. Yang khan ko inh:-.,Có lời Ðức. Chúa phán với tôi rằng:
"Ưh kơ đei bu tang ga lu mă dêl kơdâu kơ ayăt, khõm bũ lu pôm đon, lu pôm khui, bũ lu kơtum kơtõng anhong oh bỡn kơlih đờng bôm kơnong ayăt pơhnõng blep bốt kơdrõm apũng anih bơngai oei kơlih đỡng khui krao towih, tơbồh ăn anih, hơdoi ameh pơgỡr pơlôch đe sư hngăm hloh.","Không ai phản đốì vì những ai đã từng phải chạy địch, phải chôn đồng chí, đồng đội, chôn bà con anh em mình do bom pháo địch căn đúng tọa độ khu vực trú quân do bọn chiêu hồi chỉ điểm, đều muốn có hình thức hành hình chúng nặng hơn."
nhĭm.,khóc
"Tỗ kơ kon kõ jỡ iõk rong, pơma kiơ kơ kon bơngai.","Con chó là động vật còn phải nuôi, huống hồ lả con người chúng ta."
"Đei lơ bơngai 'bơ̆t ei tơjrông tơjrang mang oei nhơ̆m hmoi. Na. Yêsu khan kơ lu đe ei: “Iĕm 'nĕ pă nhơ̆m hmoi kơ sư wăi, sư ưh kơ lôch ôh, sư tep đĕch.”.","Mọi người đều đấm ngực khóc thương nó. Đức. Giê-su nói: “Đừng khóc! Con bé có chết đâu, nó ngủ đấy!”"
"Bih tar huang, juang jốp dêh?","Rắn vòng vo, bò khắp nơi?"
"Môis đei klah asong ăn minh puăt kơ adrĕch. Manase, (wă khan mă minh puăt kơ adrĕch. Manase kiơ̆ kơ adrĕch adrung lu sư).","Môi-se cũng có phát một phần cho phân nửa chi phái. Ma-na-se, tùy theo họ hàng của chúng, là phần vẫn còn thuộc về phân nửa chi phái. Ma-na-se."
tơjot.,thể dục thể thao
ruôih.,voi
Kơtrỡm oei 'bỡt chaih jih bơbũng hnam 'iỡng hloh kơ oei hơdai akăn mơkoh.,"Thà ở nơỉ xó nóc nhà,. Hơn lằ ở chung nhà với một người đàn-bà hay ữanh-cạnh."
"Ê lah,. Diông. Sẽn. Grẽn khan kơbre. Dang,. Dẽch:","Ê... Diồng. Sẽn. Grẽn bảo hai cậu. Dang,. Dẽch rằng:"
"Na dom tordrong. Inh roi ko’ iem noh hei ktfm lei-lai. Ning-monh lAp iem 'boh dom to’drong. Inh roi noh, iem bat. Inh. Kon. Bohgai wa je jur boih. 'Noh dang le kior 'mang dur boih.","Cũng vậy, khi thấy những điều đó xảy ra, anh em hãy biết là. Con. Người đã đến gần, ở ngay ngoài cửa rồi."
"Vậy, tôi sê có thể đáp lại cùng kẻ lam sỉ-nhục tôi; . Vì tôi tin-cậy nơi lời. Chúa.",Lei inh gơh tơl tơwih kơ lu bơngai pợịăm inh; ỉYua kơ ính gơnang kơ nỡr. Ih.
"Put pom kio amêm amăi doh akâu mă nhang akâu bĩ alâng rõ, bĩ honhõ prăl guăng, oei oăi mă along xonêp jờl jăi yang ăn pũ honat đẽch.","Tin lám gi, nghe làm gì cho khổ cái thân"
thiê nghiêm.,thí nghiệm
"Mă-lei thoi. Ađam. lu sư pơm glăíboih kơ dêl nởr pơkă pựgSp, thoi noh lu sư pă tơpăt boih kơ. Inh.","Nhưng ngay tại. A-đam, chúng đã vi phạm giao ước, tại đó, chúng đã phản bội. Ta."
"Inh tõk pal anhũn hrôih yua kơ lăp đang kơ sa măt inh hrăn gơanhẽp, anhõ kơ kẽ gờt bre tep hăm mơlâu bơlũ kơ wăr kơpen.","Tôi lên võng sớm vì vừa ăn xong là đôi mắt tôi cứ dip lại, không sao cưỡng được cơn buồn ngủ cộng với mặc cảm đóng khô"""
"Đờng noh sư roi ăn kơ. Rachel băt sư kơtum, kôn mon. La'ban. sư kon tơdăm. Rệ'bêka, na. Rachél kơdâu roi kơ 'bă sư băt.",Gia-cóp nói cho cô. Ra-khen biết cậu là anh em họ hàng với cha cô và là con trai bà. Rê-bê-ca; cô liền chạy về báo tin cho cha.
Hli kơ đe mơ̆ng tơdrong noh hơloh chrih kơ ih. Đe ang tơdrong jang kơnê̆ ưh kơ sŭt đĭ.,"kẻo có ai nghe được, họ sẽ phỉ báng con, và con không rút lại được những lời nói xấu."
Bar anu bơngai tơgar mĩnh hlak topơng?,Hai người giành nhau một cái xà ngang?
Yesu wefh mefjit-'bar 'nu befngai pcfhram pang. Stf nam cha beftho tefdrong 'nao lefng.,Đức. Giê-su sai mười hai. Tông Đồ đi giảng (Mc 3:13 -19; 6:7-13; Lc 6:12 -16; 9:1-6)
"Lu iĕm gô um sư na gô tơthu pơđông lu sư, phŭt gô huơ̆r lu sư tơklah hiong đĭ, mă-lei gah lu iĕm gô chơt hiôk lăm. Kră. Yang gô ư-ang kơ. Tơ'ngla 'Lơ̆ng. Rơgoh. Isơrael.","Ngươi sẽ rê chúng, gió sẽ cuốn đi và bão táp sẽ phân tán chúng. Còn ngươi, vì Ðức. Chúa, sẽ mừng vui hoan hỷ, vì Ðức. Thánh của Ít-ra-en, sẽ hãnh diện, tự hào."
"Gô năng tơning kơnh,. Giông.",chuyến đi ngày mai lám thế nào để cho nhanh tới nhà gặp mẹ ở trên ấy
mơ nhong plenh tơ ngĕt ĕng duh bô̆k.,"Tuy trời lạnh, tôi vẫn đi làm"
"“Asiri gô pơ̆k răm kơ đao gưm, ưh kơ trŏ kơ đao kon bơngai ôh kư̆m ưh kơ đao gưm đơ̆ng bơngai bu wă pơlôch sư. Lu sư gô kơdâu ôn đơ̆ng đao gưm noh păng lu kon tơdăm lu sư gô jing đĭch jang pơmat.","Át-sua sẽ ngã gục dưới một lưỡi gươm không phải của con người. Nó sẽ bị tiêu diệt do một lưỡi gươm không phải của người phàm. Nó sẽ phải trốn chạy trước lưỡi gươm, trai tráng của nó sẽ phải làm lao dịch."
"Lu ’bok yồng pơgơr ih thoi lep 'ba, lu yõng linh ih lơ thoi lep tung-nut kôp kơpal dur lăm nàr tơngiẽt, dĩng truh tơ măt ’nãr lẽch, lu sư păr weh đĩ, đe ưh kơ băt lu sư oei tơ yơ.","Quân thị vệ của ngươi nhiều như châu chấu, thủ lãnh của ngươi nhiều như côn trùng, đang đóng trại trên thành luỹ trong ngày giá lạnh. Khi mặt trời rực sáng, cào cào cất cánh bay đi."
inh bôh kon hơ xeh tơ sở thú.,tôi thấy con ngựa trong sở thú
Hla ar anhong xong inh hlôk dôh.,Quyển sách mà anh cho tôi rất hay
“Bcmgai noh khan ko? inh thoi au:,nói với tôi thế này thế này; y bảo Ðức. Chúa phán rằng:
Tơdrong hơn kơ ỉu bơngai tỗk năm.tơpơỉei ỉỡng rơgoh:,Bài ca đi lên từ bực
dah ma ban dlch ka de pang sem darong dah ma minh dram boh minh roh hnam?,"Hay là gia đỉnh ta mắc nợ một nắm muối, một sợi dây chuyền nào khác?"
Kon drõ-nglo Êlkana noh: Êbiasap.,"En-ca-na con ông,"
yŏk.,lấy
Hi bĭxĭ mơnuih hrui.,Nó không phải là thợ săn
Ih băt boih bre. Phigelus păng. Hêrmôgen păng đĭ-đăng bơngai dêh. Asi achăng lê̆ inh boih.,Anh biết rằng mọi người ở. A-xi-a đã bỏ tôi; Phy-ghêlô và. Héc-mô-ghê-nê cũng ở trong số ấy.
Nĕ pă kơchĕng pơgră tơdrong xang hĕl sơangon.,Cháu chớ nên quá buŏn.
kon kơdruch.,con út
kuôt đon .,hiểu ra
Lăm to inh bơnê kơ lu hơmỡl anùng đak pơjing ăn kơ ami pru rah kơtom kơ băt kơna râu inh iung.,Tôi thầm cám ơn những đám mây suns nước đà tạo nên trận mưa bất thường đánh thức tôi dậy
"Năm kơtao to kữm khăn ưh mă alỡng ngăl, iung bơhyôr. Diông. Sẽn. Grẽn ani roi năm hơto hơto.",Lại sang đám kia bảo chưa được ngon ngọt mới để xúi đi dần dần.
Tồk tơ kông đe hli kơ hăp. Brỗk tơ bri đe krê pồm sư Đe khan hăp jỡ yống bri kông?,Đi lên núi chỉ sợ mình nó Đi váo rừng chỉ khiếp mình nó. Người ta gọi nó là chúa tể?
sem.,thú
"Lăp truh tơ hnam boih, sư iŏk săng, chơ̆ng jơ̆ng ti akâu akăn kơnhŏng sư mơjĭt-'bar jăl chă ba tơ jơ̆p teh đak. Isơrael.","Đến nhà rồi, người lấy một con dao, nắm vợ bé mình, chặt từng tay từng chân ra mười hai đoạn, gởi đi khắp địa phận. Y-sơ-ra-ên."
"Lu stf go po'k. Idch ho’dai lu bongai mS de ptfloch ham dao,- dui ba stf ho’dai ham lu kon poflei lo lu stf.","giữa những kẻ đã gục ngã vì gươm. Gươm được trao rồi, hãy lôi. Ai-cập đi cùng với toàn dân của nó."
"“Bone kokuh if-ang ko. Kra. Yang ma an todrong hiok hoddng ko lu bongai. IsOrael, kid thoi dom ndr ih poka! Ndr 'Idng tOpat, ma ih yua 'bdr. Mois dich dam. Ih botho,. Ih khan ifh ko dei ndr ayo ma ifh ko dei pom pokeh.","Chúc tụng Ðức. Chúa, Ðấng đã ban cho Ít-ra-en dân. Người được nghỉ ngơi, đúng y như. Người đã phán, không sai một lời nào trong tất cả những lời tốt lành. Người đã dùng ông. Mô- sê, tôi tớ. Người, mà phán."
"Ơ 'nhŏng oh mă juăt păng inh, dah bơn băt bơ̆n jing kon 'Bok. Kei-Dei tơpă boih, lei bơn huay pă hli kơ sư boih hŏ.","Anh em thân mến, nếu lòng chúng ta không cáo tội chúng ta, chúng ta được mạnh dạn đến cùng. Thiên. Chúa."
hơnhuih.,ướt
Na me stf khan: “E apinh chotag iok kd’l. Yohan botagai ma pom 'batem ko' de.”.,"Mẹ cô nói: ""Đầu. Gio-an. Tẩy. Giả."""
"Lu bơngai noh sơ̆ lu sư kơtơ̆ng jơwa đe hlôm keng, re dêh păng kơtơ̆ng 'bơ̆r 'Bok. Kei-Dei pơma. Lu sư khan kơ 'Bok. Kei-Dei 'nĕ pă pơma kơ.lu sư,.","có tiếng kèn vang dậy, và tiếng nói thét gầm, khiến những kẻ nghe phải van xin đừng để lời ấy thốt ra với họ nữa,"
Anŏh yă kiơ ?,Cái gì thế ?
B6n idk unh kodeng noh tobak tojrang.,"Vì chẳng có gì che giấu mà không phải là để được tỏ bày,"
Đe pơjao kơ bre sư chẽp inh yua kơ inh jờ tơdrăng anao.,Hai người được phân công kèm tôi vì tôi là lính mới.
Thoi noh. Senakêrip pơtao. Asiri wih brŏk oei tơ pơlei. Niniwe.,Vua Át-sua là. Xan-khê-ríp nhổ trại và lên đường. Ông rút về. Ni-ni_x0002_vê và ở lại đó.
"pỢjing dỡng pơlei. Balat păng pơm lu pơlei đei hnam mong mũk tơmam păng lu pơlei wă tah gre păng pơlei ăn kơ lu aseh, tơdrong kiơ. Sôlômôn vvă 'maih pơm, sư pơm tơ pơlei. Jerusalem, lăm char. Li ban, dah tơ lăm rim <dêh char ayơ mă sư pơgỡr.","Vua cũng xây lại. Ba-a-lát và tất cả các thành có kho dự trữ của vua. Sa-lô-môn, các thành chứa xe, các thành giữ ngựa, và tất cả những gì vua. Sa-lô-môn muốn xây cất tại. Giê_x0002_ru-sa-lem, tại. Li-băng và trong toàn lãnh thổ thuộc quyền vua"
"Mưh lu iĕm năm truh tơ dêh noh lu iĕm gô 'bôh kon pơlei oei hơđơ̆ng rơnŭk rơnua. Dêh 'noh să păng sĭt. Kră. Yang 'Bok. Kei-Dei gô pơjao lăm ti bơ̆n, teh đak ưh kơ đei khăi minh tơmam kiơ.”.","Khi anh em vào xứ đó, sẽ đến cùng một dân ở an ổn. Xứ ấy thật rất rộng, và Đức. Chúa. Trời đã phó nó vào tay anh em; quả thật một nơi chẳng thiếu vật chi đất sanh sản."
"Kră. Yang tơi: “Ih athei rôp ăn kơ. Inh minh pôm kon rơmo akăn pêng sơnăm, minh pôm bơbe akăn pêng sơnăm păng minh pôm kon triu tơno pêng sơnăm, minh pôm sem pơgâm păng minh pôm kơtơp hơnar.”.","Người phán với ông: ""Ði kiếm cho. Ta một con bò cái ba tuổi, một con dê cái ba tuổi, một con cừu đực ba tuổi, một chim gáy và một bồ câu non."""
"E gô ah nô̆h kơnh, e gô lơlĕ kơdih.",Cứ đợi đến một lúc nào đó rồi chàng sẽ thấy.
"Lu anih gak bar pah dei peng td anih, dei lu jrang gah cheng pdng ko?deng kojung ko’deh ki?m lei-lai ko? 'mang jang ma minh, tor po’dam-jit ho?gdt pdng wo’l sif bar-jit po’dam ho’gat.","Các phòng thị vệ ở cổng này: mỗi bên có ba cái; các trụ và tiền đình của nó có cùng một kích thước như các trụ và tiền đình của cổng đông: dài hai mươi lăm thước, rộng mười hai thước rưỡi."
"Inh go chong ba lu su’ to anih de 'bet poioch pom nhem, thoi triu toYio thoi bo’be toYio.","Ta sẽ đẩy chúng xuống lò sát sinh, như chiên con, như cừu và dê đực."
"Kră. Yang khan dỡng:. Dan tì ih tơ kơtơh. Na sư dan hloi, klaih kơ 'noh sư hiỗng tì. Na, 'bôh tì sư ’bơm chỉn kok hmông thoi prẽl.","Ðức. Chúa còn phán với ông: ""Hãy luồn tay vào ngực ngươi!"" Ông luồn tay vào ngực, rồi rút tay ra. Và này tay ông bị phong cùi, trắng như tuyết."
Kĕch tơ dak bơxĭ.,Ra biển
gôdai.,tán
yaih tŭk.,phá
"Na ’bok. Kômei khan kơ. Pêtrôs: “Puăn nàr kơ âu boih, dang jơ âu mõn, pêng jơ kơsờ, inh oei làm hnam inh àu, krao khan kơ. Kră. Yang 'Bok. Kei-Dei. Na inh 'bôh hloi minh 'nu bongai hrũk ao kok hơdah, sư dờng 'bõT.anăp inh.","Cọt-nây trà lời rằng: Đã bón ngày nay, nhàm giờ thứ chín, tôi đương ờ nhà cầu-nguyện, thình-lình có một ngươi mặc áo sáng lòa, hiện ra trước mật tôi,"
Bich bĭh kơ mŭng/ tep bih kơ mŭng.,Nằm màn
KrA. Yang khan:/‘Inh go poYAm lu rup yang pang poYam ptfdi ptfgoh lu rup yang dong ptflei. Nop. LAm char. Eyipttf tfh pA dei ybng ptfgdY dtfng; Inh go. An ttfdrong hli krtfp ktf lu! bongai lam char. Eyipttf.,"Ðức. Chúa là. Chúa. Thượng phán thế này:. Ta sẽ huỷ diệt các ngẫu tượng, sẽ loại trừ khỏi. Nốp các tà thần. Ðất. Ai-cập sẽ không còn ông hoàng nữa. Ta sẽ làm cho. Ai-cập đắm chìm trong sợ hãi."
Mĭnh bar 'nu mŏ.,Một vài chị
hnhăi minh pah măt.,liếc
inh hoang bă inh tung kơbang.,tôi phụ ba tôi khiêng cái bàn
"Lu 'bok soi tih pang lu thay boTho tefdrong juat de. Jude ktfm wang che bo’le kef. Ydsu pdng khan dih bal: “Stf gefh ddng po’klaih de, ma-lei. Stf tfh kef gefh dong pcfklaih akau. Stf ko’dih.","Các thượng tế và kinh sư cũng chế giễu. Người như vậy, họ nói với nhau: ""Hắn cứu được thiên hạ, mà chẳng cứu nổi mình."
inh ưh kơ lu kâl ngloch.,tôi khôn thích đầu trọc
Bơngai mơdrŏng dŏng kơdih akâu khan bơngai hơgei. Mă-lei đei bơngai dơnuh hlôh 'bôh đĭ bơngai noh?,"Kẻ giàu có cứ tưởng mình khôn, nhưng người nghèo mà sáng suốt thì biết rõ kẻ ấy."
"Lu linh dOng lam polei lech blah linh. Joap, dei lu mo'nah bOngai lam khul dich dam. Dawit loch,. Uri boYigai. Hetit ktfm dai loch.","Người trong thành xông ra, giao chiến với ông. Giô-áp. Một số người trong quân binh, trong các bề tôi vua Ða-vít đã ngã gục, và ông. U-ri-gia, người. Khết, cũng chết."
pơnhroh pơm.,triển khai
"Chih jô̆ bĕ kon sâu. Lêwi, kiơ adrĕch kơtum gah 'bă lu sư; jô̆ đĭ-đăng kon drŏ-nglo iŏk đơ̆ng minh khei tơ kơpal.","Hãy kê sổ con-cháu. Lê-vi, tùy theo tông-tộc và họ-hàng chúng nó, kê hết thảy nam-đinh từ một tháng sắp lên."
