Bahnaric,Vietnamese
'dup 'dêp,bật lên bật xuống
'dut,chỉ
'duơ̆t,nhổ lên
ao kơ jung,áo dài
'dêl 'dăi,giống như trước
'dôl,bộ phận sinh dục
'dôn,thêm nữa
'dông,nổi
'dôp kơ'dôp,đi khom lưng
'dô̆,xin thường 
'dô̆r,khệ
gơxar,ảo giác
'dă,đố
'dă hiĕp,sách giáo lý
'dăo,đáng kiếp
'dĭ,hết
'dĭ 'dĭ,cùng có nhau
'dĭch,người nô lệ
amiyô,áo lót
'dŏk,gì
'dŏl,nhô lên
'dŏng,cong
'dŏr 'dŏr,mạch máu chảy
'dŏt,nhổ ra
'dŭi kơ'dŭi,cong lưng chạy
'dŭk,thình
'dŭk 'dŭk,tiếng mạch nhảy
'dŭm,loại thuốc lá có lá bầu
'dŭr,tùng
'dŭr 'dŭr,tiếng chân chạy rầm rần trên sàn
'dơh hă,không sao đâu
'dơk,đu
'dơ̆m,choáng váng
'dơ̆ng,đứng
'dơ̆p,râm ran
'dơ̆r,đạp
'dơ̆t,bít lỗ
'hnhoi,nhìn
ao hơgăh,áo sơ mi
'iok,lấy
'iĕ,nho
'iŭ,sợ
'jih 'jih,mưa rỉ rả
'joh 'joh,chảy nước miếng khi thèm ăn gì
'joi,liên tiếp
'jom,bu vào
'jrang,ỏi
'jrep,hút
'jring,ầm
'jrõk,chim bìm bịp
'jrüng,nghiện rượu
'jrăi,chửi thề
'jrỡch 'jrăch,chỉ nhiều hàng thẳng tắp
'ju,sấy khô
'juah,hết sạch
'juat,nghề mộc
'jue,thật thà
'juit ' juat,đen khịt
'jul 'jal,nhảy thoăn thoắt
'juơh,thẳng tắp
'juơk,vây bẩn
'juơt,vết dơ 
'jíing 'jrăng,tiếng chiêng trông hỗn hợp
'jôp,chạm nút
'jôr,ốm còi
'jơ'jah,dột
'jơ'jih,mưa rỉ ra
'jơjih,bị
'jồ krong,chim bói cá
'la,bị oan
'lak,lột
sơlŭng đak kơamê̆,ao tù
'leh,mắc bẫy
'leng,rụng
'nơ̆m,ấp
'long,cái
'long adê,vầu
b,b
'long blang,cây bông gòn
drăkăn,bà
'long kafê,cây cà phê
'long kosu,cây cao su
'long kăi,cày
'long trang,lau
'long tŏt,trâm
'long tŭl,sào chống bè
'nhă,bã
'longtôh,dùi
'luih,lọi
'luĕl 'luĕl,nghe nguồn đuôi
'luĭl 'luĭl,ngoe nguẩy đuôi
'lêp 'lêp,dáng chim vỗ cánh bay
'lêu 'lêu,chỉ khi nói kèm theo điệu bộ
'lôi,ngủi
'lăn,thinh lặng
'lĕl 'lĕl,dáng chim vỗ cánh nhẹ
'lĕp,nhơ
'lĕp 'lĕp,dáng chim vỗ cánh
'lŭp 'lăp,tiếng vỗ cánh phành phạch
'lơ 'lanh  'lơ 'lanh,khua chân
'lơ'lĕk,nhức mỏi
'lơ'lĕl,phóng đãng
'lơ'lĕp,nhanh tay
'lơnh,giãy
'lơ̆ng,tốt
'lơ̆p,còn thơ ấu
'lơ̆p 'bềnh,vơi
'lơ̆p loi adrol,trẻ ra
'lơ̆t,không biết xấu hổ
'ma,phải
'man xe,đỗ
'mem,thương
'mem bơnat,mến
'mem truh luôch,chung thủy
'mi,mưa
thuôk,bả
'mik,bôi
'miêu,bên trái
'mong,thù
tơpa,ba ba
thuôk kơ'ne,bả chuột
kơtum,bà con
yă dră kăn,bà ngoại
'muôi,rắn mối
'mânh,mềm
'mâu ôm,thối
'măm,ngậm
'măng,cửa ra vào
'mĕt,bóp
'mơn,với
'mơ̆u,hôi
'mơ̆u brư̆,hăng
'mơ̆u hnong 'ba,nấm rơm
'na,chớ
'nah,kẻ thì
'bok gah dră kăn,bà nội
'nao,minh
'nap,nằm rạp xuống
'nau,mới
'ne 'năi,nhắc
'ngah,tảng sáng
'ngam,ngọt
'ngen 'ngon,lắc cổ qua lại
'ngeng 'ngong,chỉ rắn lớn bò ngoằn nghèo
'ngi,sồn
'ngial,thoăn
'ngik 'ngưk,loại con bọ rầy ăn rễ cây
kơdroh,bã rượu
mih,bác
'ngiĕn,trái
'nglal,đầu trần
'nglơch,trọc đầu
'ngoi,ngước mắt lên
'ngok,nhộng
'ngol,bất hòa
'ngot,cưa
'ngrơ̆i,sực
'nguk,gật
'ngul 'ngơl,đầu lắc qua lắc lại
'nguôn,bí
'nguôn akău,núp
'ngông,dài thòng
'ngĕl 'ngĕl,lắc đầu từ chối
'ngĕl 'ngŏl,đầu nghiêng qua nghiêng lại
'ngĕnh 'ngĕnh,lắc
'ngĕnh 'ngĕnh kơ̆l,lắc đầu
'ngĭl 'ngŭl,ngủ gà ngủ gật
'ngŏi 'ngŏi,dáng đi lững thững một mình
'ngŏl,gật đầu
'ngŭk ngăk,bổ củi xanh
'ngơ'ngă 'ngơ'nghĕch,dáng nhiều người 
'ngơn,ngóc
'ngơ̆i 'ngơ̆i,dáng đi lững thững
bŏbah,bắc
'ngưk,rầy
'nhaih,quả ngựa dính
'nhan,dính
'nhao,rửa
'nhe 'nho,cực chẳng đã
'nhek,nhe
'nhem,thức
'nher,mắt híp
'nhet 'nhet,bệnh kiết lỵ
'nheu,nheo
'nhi 'nhĭp,nháy mắt liên tục
'nhich 'nhuch,nhún lên nhún xuống
'nhik,cuốc nhỏ
'nhip,làm việc qua loa
glang,bạc
'nhit 'nhit,dẻo
'nhiu,làm
'nhoi,lim dim
'nhriu,mù mịt
'nhrong,luôn
'nhrui,tùm
'nhră,chỉ định
'nhrăm,đoán chừng
'nhrăng,săn
'nhrŏn,gọn gàng trên lưng
'nhrŭ,nhuộm
'nhrơ̆,ngần ngại
'nhrơ̆t,dừng lại một cách thình lình
'nhrơ̆t 'nhrơ̆t,tiếng nhai kêu sừn sựt
'nhueng,nhọn
'nhuin,chậm chạp
'nhup,qua
'nhut,kéo rồi thả như cá mắc câu
'nhôn 'nhôn,kéo dài ra
'nhăk,đem theo
'nhăm,heo rừng
'nhĕ,nhỏ xíu
'nhĕ 'nhŏ,nhỏ
'nhĕk,bỗng nhiên
'nhĕl,thọt
'nhĕm,nếm thử
'nhĕng,mang theo
'nhĭk,nhơn
'nhĭp,bắt đầu lên da non
'nhŏ,vừa
'nhŏi,nhái giọng
'nhŭ,chua
tơhrơk,bậc
'bok bơgang,bác sĩ
chơng rơng kung,bắc thang
ngĕi,bách
'nhŭk,cái lảy
'nhŭm,búi tóc
'nhơ,cái ấy
'nhơy,cắn xé
'noch,vót nhọn
khim,bạch
'noh,đó
'nol,cỡn
'not,thoi
'nu,một
'nut,đậy
'nâu,đây
'nôk,bắt đầu biết yêu
'nôm,tiểu
'nông,bềnh bồng
'nô̆ kơ'nô̆,khệ nệ đi
'năk,cắm
pơangeh jĩ ako,bạch hầu
'năp,cái thóp
mong,bạch tạng
sơmat,bái
'bai,bài
'năr minh,ngày mồng một
'năr sa mŏk,lễ mừng lúa mới
'nĕk,chuyển
'nĕt,từ
chơ'bră,bãi
'nŏ,mình
'nŏk,cụt
'nŏn,nệ
'nŏt,quậy
'nŏt 'nŏt,từ từ tiến lên
'nŭk,mạp
'nŭng,gói lại
'nơ 'nơt,thong thả bước đều
'nơt 'nơt,đi thong thả bước đều
'nơ̆k,chèo ngược dòng
'nơ̆k  'nơ̆k,đi thong thả đều bước
'nơ̆n,một loại chuối rừng
'nơ̆u,này
'ră tơ'ră,rớt
'yem,chúng mày
'yoh ai,nhục
'yol,chảy
'yol blai,tuôn
'yung,dậy
'yung đưng tep,ngủ dậy
'yôt,oằn
'bai bơ tho,bài giảng
'yŏk,bớt
'yŏk 'long ŭnh,lấy củi
'yŏk adrol,mượn
'yŏk chơtŭ,vờn
'yŏk dơ̆ng,vớt
'yŏk jên ruôt tơmam,tiêu tiền
'yŭ,hoảng hốt
'yŭk,dục
'yơ̆u,kia
'ban,ban
@,@
[pơ'dik,lên
^'mỡt^,thẳng
a,nên thân
a kâu 'do lôch,xác chết
a'jă,trong trắng
a'moch,mò mầm
a'nhur,hạ giá
aah,thế đấy
aaih,á
abah abah,xuôi theo dòng nước
abai,ghè có miệng rộng
abak,kẽ ở ngắn tay
abrĕn,tê
abôn,êm
abĕn,váy
abŏt,đọt mây non ăn được
abơ̆,quơ
abơ̆u,một nghìn
ach,bốn đời
acham,làm dấu 
acheh,mảnh
achep,lang củi để dưới rằm nhà
achom,múi
achom kruôĭ 'bŏng,múi bưởi
achon,hòn đảo
achoôm,thân thiết
achô̆,một ôm
achăm,giòn
achĕp,bó nhỏ
achŭ,va nhẹ đầu vào
achŭt,đẩy củi vào bếp
achơ,khinh chê
achơ̆m,đụng nhau
achơ̆t,dứt
ada,chậm
chơ'bang,bàn
adal,cẩn
adan,mục tiên
ade,một loại lồ ô
adeh,rãi
adiĕng,bí tích
adoi,cũng
adon,buồng chuối
adraih,dụng cụ đuổi chim
adral,đánh dấu
adrang,đuổi đi
adrap,cảm cúm
adreh,độn
adrei,chày giã gạo
adrih,hỉ mũi
adrih (hla 'nhĕt a drih,tươi
adrin,gắng
adro,con ve ve
adrok,da hay vỏ cứng thú vật
adrol,kích
adruh,nữ thanh niên
adruk,nhảy xuống
adruĕch,thon dần lại
adrâu,cái xăm kéo cá
adrêch,nòi
adrê̆,bỏ
adrăl,bất đắc kỳ tử
adrăng,cán dài
adrĕag,bớt lửa
adrĕch,dòng giống
adrĕl,ngay tập tức
adrĭng,cùng
adrĭng adrĭng,rập ràng
adrŏn,chòi
adrŏng,cây đót
adrũn,nhún
adrŭng,gói
adrơi,chào giã gạo
adrơu,nay
adrơ̆,khó thở
adrơ̆i,chúc
adrơ̆l,đều nhau
adrơ̆m,cùng một lúc
agah,gọn
aglăk,nói khích bác
agong,gàng
agrop,ghép đôi
agră,khạng
agrĕ,nghiêng
aguôt,cạp
agăl,triều nhiên
agăm,thuốc độc 
agĕi,giỏi
pơlĕi,bản
ah,khó
ah ha,chỉ sự vui mừng
ah wa,tiếng khóc oa oa
ah yó,tại
ahrai,bây giờ
ahrĕi,bây
ahơ̆m,được
ai,em ơi
ai brư̆,hoạ
ai bĭ mah,không may
aih,chảy nước miếng
ak chăk,con ác là
bôl,bạn
akap,bẫy bẫy
akei,bờ vực thăm
akhôl,màu muối tiêu
akoh,luộc
akok,chiếc chiếu
akol,sóng 
akon,thót
akŏm,gom lại
akuk,bệnh cúm
akâo,bỏng
akâu,chắc
'brôih,bàn chải
akô,bẫy chim
akăl,lát cá
kơ pang chĭng,bàn chân
akĕ,gầy
akĕ akoih,quắt
akŏi,loại kê địa phương
akŏl,đốt ngón tay
akŏm,thu hoạch
akŏp,cộng lại
akơn,giở lên
anăr dâng hĕi,ban chiều
akơ̆t,lừa bảo
al,chặt
ala,bĭ để cho đều nhau
alah,lười biếng
kơmăng,ban đêm
alak,nhãi
aleh,rỗi
aliet,sờ
alik,nhễ
aliĕng,lõi cây
along,bo
bôl hŏk hdoih,bạn học
along hơn go,thông
pơlĕi pơla,bản làng
along rang theng,sen
aluh,trúc ra
aluôh,ngoan
alê̆,biết
alôh,ồ
alăk,dừa rừng
alăk alal,và số kể
alăng,khôn
alĕch,hướng đông
bơgê,ban mai
amem,yêu
amlĕng,mực nước xấp xỉ
amlĭn,ngồi xếp bằng
amoch,suốt
amoh,chỗ đặt đôm
amol,trái bói
among,để dành
amra,con công
amrah,giẫy cỏ
amrĕ,cay
'noh hĕi ,ban nãy
amrĕl,lộng ngôn
kơ'năr,ban ngày
amăk,mắc
amăn,trữ
amŏl,bó lúa
amơng,phớt tỉnh
hla ar pơcheh hơri,bản nhạc
hrôih,ban sớm
kơ pang ti,bàn tay
anai,khác
anai ei,tiếng ô chỉ không dám
anam,hạt cườm
anang,đúng lúc
anay hâu,cái thán chỉ sự tránh móc
bang kup jok,bàn thờ
anel,đầu nguồn
kơxơ̆,ban tối
jĭl,báng
ang moi,ráng đỏ lúc sáng sớm
angiêng,gào
anglong,cây đến
anglâu,ngón tay chân
anglă,vỗ bờ
anglăng,loại lá rừng 
klai,bàng
anglơi,thường
anguôn,giấu
angŏi,bổ hóng
angơ̆m,đội khăn
anha,sai bảo
anhaih,tránh xa
anhang,vang
‘băng,băng
anhok,thắt cổ
anhuk,gục
anhul,ghẹo
anhur,hạ xuống
anhôm,tập trung
anhông,hát dân ca
anhă,cái vó bắt cá
anhĭn,di chuyển
anhŏ,chỉ đủ
anhŭ,các loại lá có vị chua ăn được
anhŭk,rủ
anhơi,khoe
anhơl,giơ cao
kơ bang chinh,bảng
anih vaih kơjung,đơn vị đo độ dài
anih vaih tơ wơ̆l,đơn vị đo diện tích
anih waih hngăm,đơn vị đo trọng lượng
anol tô̆,hàn thử biểu
anol wơ̆ng,vũ
anong,gánh
anot,cực
anu,ăn
anuh,trấu
anul,chơi đùa
anum,gùi có nắp
anung,cái gói
anăk,bay thò
anăn,họ
anăn tơngăng,tên thuốc độc
anăp,bệnh nổi mày đay do bị mắc hơi người khác
hơbang,băng ca
lôch,băng hà
anŭl,đùa
anŭm,chòi lá sơ sài
anŭng,gói nhỏ
anơn,giơ lên
anơ̆ng,theo như
piut,banh
ao hŏp kơ drăng,áo lửng
ao khŏublŏng,áo dài tay
ao kong kơ đeh,áo ngắn tay
'bănh,bánh
ap,gây khó khăn
apach,kì cọ
apah,thưởng
apal,bay
apal tơjul,sà
apang,cãi vã
apih,đổi
apinh,hỏi
aploh,xuôi dòng
apoch,vịn theo một vật để đi
apoih,rắn độc rất nhỏ giống như da nứa khô
apreng,xiêu
apuih,dọn
apôm,tròn
apôxtôlê,tông đồ
apă,cá sặc
apăl yang,con ma nước
apăng,lóng  lóng tay chân
apăr pêt,lệch một bên  
apŏnl,mày
apơi,ước mong
apơ̆n,chăm sóc
ar,cây đước
ara,con vịt
banh tơyông lôm,bánh chưng
arach,cây dầu rái
arah,rệp
arang reh,lỗ nhỏ chừa ở vách
areh,ghét
aren,cây dầu lai
arih,chưa chín
aring,sàng
aroh,vội và
dôm,bao
arônh,bừng
ară,còn
ară tôm,lành
arăk,cất giữ
arăk tiu,cứng
arŏ,cỏi
arơ̆ng,con bọ hung
asai,câu
aseh,con ngựa
asiu asău,rúc ra rúc rích
asong,chia
asu,đắp
asơl,lượn
at,một loại chim
ataih,xa
atak,ngỡ
atay,hung dữ
ate,nấu cháo bằng bột gạo với tro
athu,che
atoh,tục tĩu
atol,treo
atol hla,ngày mới đầu làm một công việc
atong,máng lúc vật
atrep,ướt sũng
atuch,cuối cùng
atung,lớn
atêh,chào
atô,bầu cắt bớt để đựng mồi câu cá hay đựng gạo
atôch,mục đích  
atôi,một vác
atô̆,hâm nóng
ată,đổ lỗi
atăk,lợp
atăl,chồng lên nhau
atăm,thêm vào
atăng,mỏng
atăr,dây quan gùi
atĕk,khổ
atĭng,ghê răng
atŏ,bằng nhau
atŏk,tiếp nước
atŏng,cuống lá
atŏp,cho đến khi
atŭ,đốt ngón
atŭm,chung
atŭm lŭm lăm,lên lên
atơ̆m,chúc dữ
atơ̆p,thọc
atơ̆p mã,cho tới khi
atơ̆t,giáp
abŭt,bão
au mă 'noh,áo kia
awa,cây có hạt làm thuốc ói mửa của dân tộc hla kông và tơlô
awah,hét
awat ơn,làm gấp rút
aweh,một loại ghè chế tạo tại bình định
axi,hót
axom,chết lúc mang thai
axram,mau
axuang,múa
axuat,choàng
axĕn,điều độ
axĭn,nấu ăn
axŏm,quen nhau
axŭng,bệnh phù thủng
axơ̆ng,bay lượn
ay ai,tung reo mừng ngại nhiên
ayang,liêng
ayeh,tự ái  x hơyuh
ayuh,gió lạnh
aă,cho uống
ba,chuồn
ba hnông,đòng đòng lúa
bah,sứt
bah hah,tức giận
bahnar,dân tộc bana
bahăng,trời ớt
tơchăl,báo đền
bal,hai
bal jĭt mônh,hai mốt
hnam wê̆i vê tơniam gĭt,bảo tàng
ami hơhŭt tih,bão táp
kon tơlăm klak,bào thai
banh,bành voi
tơ mam gĭt,bảo vật
bap,ạt
hbo,bắp
bar ró bô̆u,hai ngàn
bar tôn,chim non mới nở
bat,dẹp mỏng
bat dih bal,yêu nhau
beh,chạm
bei,một loại cà nhỏ  x bai
bek,béo
ben,thanh nhỏ cột ở đuôi diều
beng,chen lấn
beo,eo
bet,đâm
beu,bộ phận sinh dục nam
bi jơ năi,bại
biak,vạt đất
biay,nói
bieh chih un,vẽ
bin,bẹn
biwong,vuông
biêh,khéo léo
biêk,cứ
biêng biang,một vật lớn bung ra
biêt,bỏ vào
biŏng,mất
biơ̆ng,đánh vần
biư̆k,thực tập
biữ,cột tạc hình người quanh hàng rào nhà mồ
bla,tấm tranh gấp đôi
bla kuk,giận
blach,cục xương lòi ra ở cổ
blah 'long,xẻ
plei kenh jóng,bắp chân
blak,vạc cây làm dấu đường
blak kuk,gián
rok,bắp chuối
blang,cây gần gai
blar,giải thích
blat,dẹp
blech,xanh lợt
blel blel,ngọn lửa nhỏ
blep,đến
blet,ánh sáng yếu lóe ra
bleu,trái thận
blil,blil
bling,bùng
blir,trét kín
blo,cây sổ
blo chom,chỉ bụng to
bloch,tháo vật ra
blok,nhớ
sĕch,bắp thịt
blol nhŏp, trồi lên hụp xuống
chen,bát
blong,cào
blonh,loại cây đa thường lấy gỗ làm thuẫn
blot,vượt
bloy,của một người buôn bán
blu,bắp đùi
bluah,nhô đầu lên
bluch,rữa
bluh,bước
blung,chui
blŭng,chỉ ánh trăng sáng tỏ
blêl,bập
blên,lờ lợ
blôch,tháo ra khỏi tay
blôk,hăng say
blôl,blol
blôl blôl,thình lình nổi lên trên mặt nước
blôl nhô̆p,chỉ vật lớn trong lên hăp xuống
blôm,núi (mít
phôt phông,bầu không khí
blông blông,chỉ ngọn lửa cháu tập dùng
blông drơ̆ng,chỉ ánh sáng tỏ
blôt,lửa phừng phực
blă,ràng
blăl,dăm đãng
plĕch,bầu trời
blĕch,vặn
blĕng,nhút nhát
blĭ,kỳ ghét
blŏ blŏ,nuốt không trôi
blŏch,vuốt
blŏk blŏk,nước kêu òng ọc
blŏl,thình lình xuất hiện
blŏl blŏl,người sa mới nói một iung nó đã nói et
blŏl nhŏp,chỉ người hay vật nhỏ trồi lên hụp xuống
blŏng bloy,tỉnh trình không giữ được của cải
blŏng blêu,ánh sáng tỏa
blŏng blĕch,nhiều ánh lửa leo lét từ xa
blŏng blŏng,một ngọn lửa nhỏ leo lét từ xa
blŏng xễ,ỉ sao hôm
blŭ,rộn
blŭeg blong,chỉ bụng ỏng
blŭk,lửa cháu phực lên
blŭk blŭk,sôi sùng sục
blŭl nhlŭp,chí vật lớn trồng lên hăp xuống
blŭt,vọt ra
blơ,giật mình thức giấc
blơn,cây bời lời đỏ
blơ̆n,cây cà hoang
blơ̆ng,nhỏ nhẹ
blơ̆p,lạt lẽo
blơ̆r,xuyên qua
blơ̆t,lì lợm
blưk,nải
bo,chim nhồi trấu
boch 'boch,mút vú mạnh
hơkap,bầy
boh boh,bò bò
boh khan,một loại cò
boih,nhiên
bet hơkap,bẫy
bok bơ jâu hơmăt,thầy phù thủy
bok tho bơr bŏyong,sư sãi
poh,bẫy chông
gần rơgôn,bẫy sập
bol,thử
bom,một loại chiêng
bon kơne,bắp thịt ở cánh tay trên
bong,nọc
tơ pôl hơ ioh,bầy trẻ
bong kŏ,bướu
'yoh,bé
bong tơdra,hòm bia chứng ước
booch bôch,tủa ra từng bầy
bop,hóp
bor,chữa
bot,gọn gàng
bowblông,chỉ lửa cháy phừng phực
bowgrữ,làm bộ
bowling,muốn
bra,chỉ đám đông giải tấn
brah,rú
brai trăm pơgăm,vật trang trí cừa
brai tơ yaih,tua
brak,tóe
bral,chừa bỏ
bram,xồm xoàm
brang,cây trẩm hương
brang brih,nhe nhóm tối
brang chăm,cây gai lây sợi
bre,chỉ hai người
bre hăp,hépl hai đứa
breh,khỏe
brei,chỉ hàm răng đều
breng,cây sao cát
breng brông,khôi u có nhựa rỉ ra ở vài loại cây
breo,bắp hạt nhỏ màu hung đỏ
bret,buốt mạnh
diĕp,bè
bri kơlỡng,rừng hoàng có cây lớn
bri tơdíing,rừng thưa nhiều cây nhỏ có cỏ mọc
bri xăr,đất bỏ hoang lâu năm cây con đã mọc lên
brich,xí
bring,rằn
bring brih,nhá nhem tối
briu,tẩu nhỏ bằng đồng
bro long lơ lĕi,đồn điền
broah,một loại cây rừng (gỗ dùng làm cung
broh,xưng hô thiếu lịch sự
broi,tẻ
brok,loại đàn đây
brol,nghẹn
brong,gùi
brot,hên tục
bru,tản mát tú phía
brua,bru
bruah,một loại cây rừng
bruh,cần
brum,nằm sấp
bruơh bruah,set soạt
bruơng bruang,nhiều đường kẽ
brâm,bầm
brâu,brau
brêk,toé
