Bahnaric,Vietnamese
ha'nah,cây non mới mọc
gơgŭk gưgăk,nước chảy ào ạt
kó chơ,chợ
tom gơgo ̆ nh,lần đầu tiên
trong tĩh,đường cái
bơngol,hãi
yua kơdih,tự sử dụng
khĕ khĕ,yếu ớt
rơhrố rơhră,tiếng lửa cháy rào rào
'blŏng,dài
hngŏl hngăt,đứng trơ trơ
kũsum,kho lúa
bổi,cái hũ
akoh,luộc
anau tơđah,mới nảy mầm
kơtơp,bồ câu
tơblẽch,kỳ cục
kơkreh,cào nhẹ bằng ngón tay
chŭm,hôn
hơdôm dak dơxi ̆,viễn dương
hơmrŭk,bộ chiêng
chết,chết
tơyak,lá rừng có vị chua ăn được
bărong,bố dượng
hla kơ gôh,cờ đỏ
grưng,loạng
chơt,chỗ nước cạn cá thường đi ăn đêm
tơoĕi,quán
tuĕnh,quặn
kơ wah pơ xrăm,môn học
suit,thui
kơ'na,vì thế
hơnih tơnơm,cãn cứ cách mạng
boh khan,một loại cò
bơroẹh,hàng cây bắc ngang trên tranh dưới để lót sàn
jöng,gùi lớn
'bitì,cháy
xe kơ pô,xe trâu
pơhyiu,làm trôi
kơlơng,ngái
dơ'ngŭl,ngồi yên không nhúc thích như pho tượng
hngĕnh,muỗi kim
tơkhul,mốc thếch
lưu y,lưu ý
dih bơl,nhau
phiă,có thói quen
tơ'dom,dính kết nhau
vietgap,vietgap
tăng pet,ve chó loại lớn
hapoi,sọ
hơblo jâng păng ti,phù chân tay
drŏk,bị mốc
tơ'mong,đền cho nhau
hnhêl hnhal,điểm sáng lớn
ơ̆ng,mùi hăng
bơ̆n,bọn mình
cheh pơnhan,nói chung các ché bằng sành sứ
kơtau,róc mía
ttf'dah,cây con
gơlăk gơlon,nhìn nhau chờ đợi lo âu
pơm pơlôm,giả vờ
hơ'lih,trao đổi
chơhŭk,sâu hóm
khŭk khŭk,tiếng gâu gâu  sủa
nóng,cố gắng
hiơ hiơh,chỉ lửa dùng cháu
huyên uy,huyện uỷ
kơtơh hai,ngực nở nang
choăn,gác lại
pơdriê̆u,chủ chăn nuôi
trach diêu,trách
abôn,êm
rơxuỡn,thướt tha
amăn g mŏk,cửa sổ
hmông,trông hạt
dơhning,che cản không cho thấy
hol,chán
'nhông,lầy
eriu,thức dây
tơmam alâng bek,dinh dưỡng
dang dar,loại nhái nhỏ
axom,chết lúc mang thai
giêh,mệt
chă,chạy
hngăp,ngóng
toăng,bị đứt
pơji`p,ẳn gian
pơtrok,vá chỗ bị rách
chơkăng,căng
dơdŭich,đi vòng quanh
pơnan,cây dứa rừng 
klŭk klơ̆k,tiếng sóng vỗ ầm âm
đak ngom 'boh,sương muôi
tăk tam,loại cây hoa tím
'brẽl 'brẽch,có hạt nhỏ
bơbrat,miệng xin tay lấy
lăm tŏk bŏk,chính giữa
pơtơl,lên cơn
tăo,tạo
ngrĕo ngrĕo,tiếng nhai rốp rốp
hơchong,trai
pơglĕch,dùng mưu để lừa
grŭp,té nhào
bơbrông,chỉ nhiều tiếng khóc la inh ỏi
kơ ̆ ng,lá lách
lơ̆m tơdrong tơguêm,chính sách hỗ trợ
dĭk dĭk,tiếng ầm ầm
blang pơ kau,nở hoa
hơ băm đôt,quần cụt
mơ mŭh băt,người yêu
oĕi lĕi lăi,nguyên bản
tơklơm,ném nhau
ttf'ntfng,ưỡn ngực về phía trước
pơhiĕm,cho ăn
nâr wă khan,ý nghĩa
klơng dơt,nay đây mai đó
hanhao,phong khách giữa nhà
ăng,máy bay rầm rầm
kơmĭn,bùa mê
todrong ,nội dung
hơkol,sóng 
'bônh,bện
jĭt,chục
bơkŏng,trái dâu đất
tơ lõng b`a,gánh lúa
chơ'bang,bàn
xăo,xáo
chê,chê
krăl,cây độc
hreng,trăm
pơlong wă kơbăt,chuẩn đoán
pơdwal,oai
uĕi akău soh,ở trần
'blek,quét lửa thể sơ
sõk kang,tóc
nông lâm,nông lâm
anih tơm joh suang,sở văn hoá
pơhngiôm,lấy sương
khăt,chận
tơpẽl,thấp bé
nhcsxh,ngân hàng chính sách xã hội
kơnuk,tướng
pam,cái lờ
dơnăng,cây bình linh
'bum chrŏu,củ khoai môn
jơk,màu xanh biển
hơ tong dak,máng xối
hơdrăk hơdrŏl,hai đứa bé to bằng nhau
mai oh pôm mẽ b`ă,chị dâu
'nơ̆n,một loại chuối rừng
seng suk,xẻng
cheleng,vùng đất bằng phẳng
sômôch,ong nhỏ
rơbưn,dây kẽm
hơjơ̆m,rèn
tơrah,chặt sạch
'bre rơhẽm,bé mới sinh
bơlar,lợ
kơ wă,mong
iŏk hơkăn plơ̆ng,tái giá
jo ̆ u,vu
adrơ̆m,cùng một lúc
chơng rơng gơng,bắc cầu
rơnhêng,ánh sáng tỏa rực
bơbrĕ,khẩn trương
^^,việc
goăi,khòe
giăng,cây lấy ra độc để suốt cá
'yŏng,mái
bơxêh,phép lạ
hơlal,sức
chă yâu ka,xúc cá
hngach,dầm
hơdrơk,trút hơi trước khi chết
mơ`k,bọt xà phòng
pơdral,cây lau
kơleh,chiêng thứ
gơlŭng,nghi ngút
'dơk,đu
pơtũch,xúi giục
'nau,mới
pơnung kiẽk,bọ ngựa
plĕi tơdrong mât lĕch,nghĩa phát sinh
tơdrôp,giỏ mồm bồ
bơyong,phân công việc trong gia đình
yă kiơ,cái gì kia
kon tơlăm klak,bào thai
pơle,cây le
yưă tŭn,dự tuyển
hnơr,đồng tuổi
giơ̆ đêl hre,đòi nợ
dơdưng,bụng lớn
wet,vét
juey,con nai
bơngai tơpuh,chân
pơnhrong,một tấm khăn
juer,tránh
bơngai klẽ,người đi cày
pơnglon,trố mắt nhìn giận dữ
achom kruôĭ 'bŏng,múi bưởi
hơhơu,chỉ sự ồn ào vui vẽ
bơngai chep kơ̆l đơng đang,bí thư
tơdrong pơđam,công tác
nơ̆ng,looại rắn trun rất độc
kơdrăt,giật mình
bãt rơđah,biết chính xác
ju je,rổ làm bằng ống tre hay nứa
kơ'nŭn,ngồi canh chừng
sơdrô,rượu
klĭ,dưỡng
adrŏn,chòi
adrỡm,để cho
rơgiẽo,điện thoại
kơtum,bà con
kơnh 'biễ,lúc sau
hnhăi pơdưng mĕt,lườm
adrê̆,bỏ
peng pong,bẹp
"ku thê,",cụ thể
kơ kuh kơ ma,chào chú
kơtăc,nhựa
sek,xét
dơlĕ,loại ốc sên
dơ tao,vua
'bŏh,muối
kăl dang ĕi,đột xuất
grŭn,sốt
lep tơ drĭng,châu chấu
minh pơnuôt ,một nửa
pơwang,chung quanh
tơnai,chỗ khác
juơ̆t,thạo
prăng,phên đan thưa
yuăn,dân tộc kinh
grang tŏng,rỗ xúc cá ở mặt nước
der,chim chìa vôi
meu bri,mèo rừng
hêh,rồi
gur,ăn quen
hơ dang oei,chỗ ở
jang ăn,hầu
diăng,lễ
trung,trung
hơnŏk,bản tỉnh
hdrai,chày
kih,uống đi
pơgĕ,cơ hội
hue,dòm ngó
dơlô̆,ọe
rơxam,phù sa
hla ar tơ'bôh măt pơgang,đơn thuốc
yom,hiếu thảo
amem bơnat,yêu quý
kpô,trâu
tơdẽr,mỏng manh
aleh,rỗi
we ̆nh hơben,vắt quần
dơngưl,cái cọc
pơngang,kiến nhọt
adreh,độn
kơtăp lao,bìu
gơ'mrăm,tằng hắng
gơmreh,nhắy mắt
dơliei,môi trề xuống
hô xuân anh,hồ xuân ánh
oeng,truyền thông
gle ̆k glo ̆ k,viêm khớp
'long arĕn,dâu
tơ'măk,vắt lên
muôĭ,lặn
'bliêng,lác
pơxổn,kiên troì cháu đựng
lal,kiệt
pơja,chồn
đak sach,nước sạch
chŭ,bệnh đậu mùa
chơhngir,cào làm bằng tre
hơbalhơbĕch,nhanh nhẹn
ngoi,ngẩng
bưu,bưu
pơlêng,đặt ngửa
kơchuôĭ,ộc ra
'nhŭ,chua
hơhuek,lo nghĩ về
'dôl,bộ phận sinh dục
bơbu ̆k trôk,xúc bùn
tơmăn tơl trơ trêo tơdong wă,đảm bảo đúng yêu cầu
jual,nhà rông
hơdrô̆i,theo
klơ̆ hơwơ̆,nợ nhưng lâu mới có thể trả được
hanhŭr,chảy mũi nước
pơgơr,làm điệu
rup plĕi tơroi,hình thoi
kơ kuh kơ mĕ,chào mẹ
pơxền,xích lại gần
tơbiăl,lỡ miệng
bei,một loại cà nhỏ  x bai
khŏm,cho bằng được
groch,chim heo
pơgrăng,gắng sức
'blĕng,một loại ghè
kiêm,kiêm
sih,ngăn
pơte,nhát đau
hla ar rơneh,khai sinh
mă minh jĭt 'bal,thứ mười hai
'nao,minh
hnam pơgang,trạm y tế
năm blah,đi đánh giặc
măng,chuyến
jang lơ anăr,dày công
pơ anheng,khoe sự thích
mơkuôi,kỳ nhông
dring drit,chỉ hai người đi sát nhau
kơkơ̆r,hoảng sợ
dak hơ lŭng,giếng
kơchieo,có chữa
chơng guơng,sải bước dài
bơ ngai chih 'byeh um,họa sĩ
pơpik,quét vôi
bĭ ăn,cấm
bơchỡng,hứa gô
chữ yao phu,thấy giảng
lĭk lĭk,ở thế bí
chơhleng,mịt
axuang,múa
rơgôn rơgan,nhiều người đè lên nhau
hơnglong,ngắn tay chân
hơngloh,hất
akuk,bệnh cúm
dung dơng,"tiếng ""tùng tùng"""
đêl rơka,sẹo
an,an
kanh đak dơxĩ,cảnh biển
'nhrơ̆,ngần ngại
rim,các
byiíi byai,bay tứ tán
tơgel,đèo
pơjuŏ pơđep,bắt nạt
rih rih,run lập cập
hơ'brak,nhúc
hik,phát cáu
tơblơu,bự
tôl,bí đỏ
bri xăr,đất bỏ hoang lâu năm cây con đã mọc lên
bư,ngủ
kơchơ̆l,bị bịt kín
nông nghiêp,nông nghiệp
pơnam inh,phủ nhận
grik grik,có răng cưa
'buâ,loại kiếm của người lào
pơtỡng 'dak,chặn nước lại
đĭ,tổng
lo,dương vật
nhung tơ no,heo nọc
'bĕ,be
đak lơngom,sương
jơnuh,cháy rừng
beh,chạm
phach,vừa lúc
chơjuĕk,nhọn hoắt
kơtŭm,dõi
polôh,cái lỗ
pơngăl,cây laá tấm
blah 'long,xẻ
dơnoi,dãy  tài sản tổ tiên để lại
dơhlŭn,lõm xuống
rơhuẽn,lúa gơn sóng trước gió
chơhuh,vực thẳm
grê gra,chết ngổn ngang
pơnhro,triển khai
tơlei tang,cây dây hôi
ktăp iẽr,vải nhuộm đen
kơnhĭng,khăng khăn
tơrak,ngày thứ nhất 
tiổ,hung đỏ
adrơ̆,khó thở
dien,nút thòng lọng
drum,khom lưng
wêng trong,lạc đường
pot,sạch bách
bal jĭt mônh,hai mốt
hnam kơ jung,nhà dài
chơnơr,thức giấc
đi đăng,toàn bộ
tơpìp,mặt ngắn
ưh kơ nĩt,chi phôi
khei minh jĭt,tháng mười
dou,liệu
tơglơ̆m,vật lộn
gơlơ̆m,liều mình
grŏnh,nái
hnam tơ nŏ,nhà cửa
tơmon,nắm
trong rơvơ̆ng,đường vắng vẻ
huăng,rơi
hơmơih,xoa
atoh,tục tĩu
carbendo,carbendo
kơ'măl,phát triển đầy đủ
chô,buộc
ang,ánh sáng
đuk,bực
wăn nge ̆,văn nghệ
rỗ,vỡ gốc cây
akĕ akoih,quắt
'bơ'banh,đúc
bôt,thần số mệnh
hlut,bị lừa
mù,hộ
kơmrôi,cây ăn trái
toan,toán
kiê,kiểm
rũng dũng,tiếng cây to đổ
nhop,chìm xuống
`xi hrôk,chí
tơblỡt,bị lột da
jơhnơr,hoàn
phăi,phái
mwp,mwp
brui,cái cọ
chah pŭng ha hơ̆i,lấy tay đập nước cho kêu
hawin,chiêng của người lào
pơkai,dưa hấu
chĭ,đi đi
pơlăp,làm hai lòng
blơch,ngậy
nghiêp,nghiệp
bơdưng,dựng
angơ̆m,đội khăn
tơƀôh,gợi
'nô̆ kơ'nô̆,khệ nệ đi
pơhrŭ,bắt vạ
ki,thế
ăi,tiếng ái kêu đau
hlư̆,mởn
jơmông,đá thần
chơ'bơ,há học miệng
tong sră,cánh nỏ
kơdô,bồ đập lúa
prôh,láo khoét 
pơwih,lải
juôi,nai
blah aya ̆ t,đánh giặc
đĭch,nô lệ
dơnơ̆ng,cây gỗ hương
dui dai,có vú dài
dong .,đập
hơyăng,xuê
kơwăl,chận quanh đìa bằng phên để bắt cá
pơdra,giàu dây leo
lăm hơioh,lớp mẫu giáo
kiap kiap,tiếng vịt kêu cạp cạp
among,để dành
akơ̆m,thuốc độc 
tơíing,phía ngoài
rơmlốnh,nõn nà
ngăl,toàn là
yoh,đi thẳng
'ngĕl 'ngĕl,lắc đầu từ chối
ka pơ ôh,cá ươn
khuăk khuăk,tiếng gâu gâu  tiếng cú cú
kơ kuh kơ bôl,chào bạn
ttyt,trung tâm y tế
tơrăk tơrong,tơdrŏu
lăp minh đon,thống nhất
kơ'nher,ti hí
'bŏng 'boch,con dã nhân
brunh,tủm tỉm
phu ̆i phu ̆i,xốp
hơleo,toét
'bloh,lam
hrech klo kăn,ly dị
ngơngơ̆k,nhô lên hụp xuống
tơnăr jrăng amăng,mành
kơpô găm,con trâu đen
jơnang 'noh hĕi,lúc nãy
'mơ̆u brư̆,hăng
tơmôch,dìm xuống nước
minh 'biĕ,một tí
nhĕch,rít
lă tuk,nhả
krao iung,gọi phải dậy
ptf'mê,làm nhục
'năr jrang,xế trưa
kơ drei prit,nõn chuôi
hlơ hlư ̆,mơn mởn
Chơđong,ngày nay
chơphe,cà phê
nưih sơngưm,tính tình
pơgiơ̆ng,sinh ra
luơ̆t,luật pháp
hiông,toạc
thŏng,thuyển
pơlu` đe ioh,dụ dỗ trẻ em
plăk piăk,tiếng chó liếm nước
palti,trên kia
hơlŏng,gông cổ
pơ long,thi
pơ'blei,nói phỉnh
kuêng,đi chân chữ bát
tơpơi,cục sáp ong
'bơ'bel,quịt nợ
pơrang chŭ,ghẻ
mir na,ruộng
hiong bơngol,kinh hãi
goi,lẽ
jơp,khắp nơi
pơ'blơm,phỉnh chơi
kơlet,hạt nhỏ màu trắng bóng
soh,châm
wĕi pơ alâng,giữ gìn
krĭnh,bực tức 
krông,heo rừng mẹ và bầy con
khuă,khoá
gơrrang,ngà
hmŏn,điều trị
rơ̆ng kon drŏ kăn,gả con gái
rơnhăk,mỗi người mỗi việc
f,f
chuô,chùa
'blet 'blet,ánh sáng lập lòe
kơ'duh,miếng thiếc 
phân chuông,phân chuồng
'long bri,cây cối
dơhmăn,tha hồ
rơ duk,điên
anih kơdră,chỗ lãnh đạo
'ding,ống tre nứa
'bơ'blĕt,traần trọc
kơjeh,giã gạo cho tróc vỏ
juăr,cầm que 
pơjŏu,phù thuỷ
'yung đưng tep,ngủ dậy
uaih,đau đớn
pơ'dô̆,xiết đồ dẫn nhau
atol,treo
tơmũp,lãnh đạm
klam,kham nổi
'bot,mò
jơmi,cây giã
'bliowh 'bliah,nhẫn
chơgrê chơgra,chỉ nhiều vật lớn
lach,la rầy
muit,cái búa
kơtơih,vấp chân phải cái gì
bơhloh,làm dư ra
tơpu`,đổ vặ
đô san phâm,sản phẩm
dôm kơ măy,máy móc
rơwìn,nhão nhẹt
'iĕ,nho
piôt,thẳng đứng
kơnuăk,khoè
viê,vị
pơgrơ̆m pơgrăm,tiếng cãi vã rầm rầm
pơxrăp,làm cho thỏa mãn
pơ̆n,dám
kơ'dô̆,phồng lên
jơhah,chỉ há to miệng
urê,phân urê
ku le,nấm mọc ở gốc le
huang huang,nhiều người 
hbo,bắp
hiap athĕi lôch,rủa chết
mơnhal ũnh chră,bóng đèn
klăm,đêm tối
hrŏk,rận
chơ lơ la,chỉ mệnh lệnh hay yêu cầu
akĕ,gầy
kơhê,đỏ thắm
kơ'brê,màu đỏ
grak,tiếng gáy
chơnglơng,vật lớn đổ xuống từng măng
klôt,cái quần đùi
hăn,hạn
đơng tơkan,đạt
blon,hình vuông
ưh kơ gơh dĕi yua,không hiệu quả
tơner,một miếng
'bet,diệt
bơgơm,kiêu
plĕch,bầu trời
kiong,nhồng
'nhrơ̆t 'nhrơ̆t,tiếng nhai kêu sừn sựt
'blê̆ 'blă,vật lớn đi đi lại lại
duĕr duĕr,cái quạt máy
'blơch 'blach,vùng nước ngập
ăr,ĭng ơ
pơngan,đồ sứ
axram,mau
thuôk ngoi phau,thuốc súng
huăk,trái xoài
hơvơ̆l,nhầm
pơtăl,thay thế tổng
dơrak,ngày thứ nhất sau khi chôn đất
kơwông,sưng húp
'bloi 'bloi,lên mặt nước thở
bơbrũng,chỉ đàn ong hoặc ruồi nhặng bay vù vù
đăi,đại
jơnŭm teh đak,cộng hoà
'yŭk,dục
si,chấy
ruôh,tháo
jăm,thịt heo rừng
pơ hle,làm cho ai đó vui vẻ
bơjăng,bíu vào
bêl,đời
'dŭi kơ'dŭi,cong lưng chạy
yai,giai
iôk,lấy nhau
pơdriêu jên,trả tiền
chơklĕk,đan dày và kín
plẽi khuă,chìa kho á
hơ rao phe,vo gạo
rơpang,cá xíu
nt,nội
'biap 'biap,nhai nhóp nhép
khôi khôi,nhảy  
pi`k pu`k,bèo
tuh lot,bón lót
hơkok,chiếu
pơhŭm,tắm cho
hut mơ̆u,đánh hơi
hơmăm,kế
chruh đak,tưới
bieh chih un,vẽ
totêk,mồm mép
hmĕch,muỗi
pơhrăn,can
hơbuh,chỗ nước chảy cuồn cuộn
adiĕng,bí tích
gugŭng,kéo đâu theo đó
it,ôm sát
chă jơluk jơlăk,sục sạo
'deh pơ'deh,thao thức suốt đêm
achŭ,va nhẹ đầu vào
jơdrap,cái thuống
pơgăl,xứng đáng
'lơ̆p,còn thơ ấu
thuy,thuỷ
tơbrot,bắt làm không nghỉ
phê̆,diện tích rộng
găch,ngón hay gạch
hơpol,bí đao
'buông,cái thìa
pơxur,thúc đẩy
chơcha,nói lải nhải
tơxững,hướng mặt trời lặn
rơlôk,một loại lồ ô mắt nhặt
pơdô̆,lặng thinh
brơ ̆ m,viên đạn
kơ'duang,sỏi thận
chơhnot,dác gỗ
bleu,trái thận
ã,như ra
hơrôi,thòng
'bok,bok
tằm,tằm
ap,gây khó khăn
nơ̆r ư ang,tiếng tăm
neh,kìa
pơweh,nói cạnh
pơ̆ng kơ đinh,đóng đinh
tơpăl wăl,rối chằng chịt 
sêh,phép
et et,tiếng kêu két két của đàn vẹt
mơlôh,lỡ cờ
rơnhăl,chặt đất từng khúc
pơhrăl,làm mất ngủ
boh gah kon dră kăn,ông ngoại
to păl,cối giã gạo
tơ'mal,ra xem
hơ'nglăk hơ'nglal,trọc lóc
kơdêt,đồ bỏ
'yĕr bri,gà rừng
ưh pă yua,không dùng
băng lăng,cây mằng lăng
pơdêt,một giống lúa
ŭnh hnam chã đon tơ plih,kế hoạch hoá gia đình
hơnung hơnăng,ì ầm
jơhnũl,que rảy
teh liêm,đất màu mỡ
kơdŭn,lui lại
grêh grêh,rè
bơgỡr,cái trị
'brõi 'brỗi,từ từ bò đi
pơhiôk,làm cho dễ dàng
đe ̆i tơdrong,lý do
tẽp 'nhoi,nguýt
bơ ngai gơh hơri,ca sĩ
chơraih,cời
pơxao,hợp
