potao ku'm perm hornet. anih 'long. rogoh hloh wa tah horn todrong pogdp. kra. yang lam noh. ||| vua lập một. nơi. cực. thánh ở giữa ðền. thờ, phía trong, để đặt. hòm. bia. giao ước của ðức. chúa.
ih chih kơthơ âu kơ kră wei-lăng hnam akŭm 'bok. kei-dei tơ. pơlei êphêsô thoi âu: 'bok mâ chĕp tơpơh tŏ sơnglŏng tơ ti 'ma sư, mă sư nơnăm lăm tŏk-bŏk jơ̆ng kơđeng maih noh sư wă pơmă kơ iĕm thoi âu: ||| hãy viết cho thiên thần của. hội. thánh ê-phê-xô: đây là lời của đấng cầm trong tay hữu bảy vì sao, đấng đi giữa bảy cây đèn vàng:
iĕm 'nĕ tam pơrăm teh, đak dơsĭ, lu 'long, gô nhôn chơ̆m đŏng yâu tôm kơ klĕng lu đĭch đam. kră. yang bơ̆n 'mơi.". ||| rằng: "xin đừng phá hại đất liền, biển cả và cây cối, trước khi chúng tôi đóng ấn trên trán các tôi tớ của. thiên. chúa chúng ta".
khĩ ră, khĩ rã". ||| không sao, không sao
lu sư kơtơ̆ng. yĕsu khan wă jur dơ̆ng mă lei tơ yơ 'bôh? lu yă bok bơ̆n lŏch đĭ-đăng boih, mă-lei tôm tơdrong oei hơnơ̆ng lei-lăi thoi plĕnh teh 'nao pơjing sơ̆ đĕch.". ||| họ nói: "đâu rồi lời. người hứa sẽ quang lâm? vì từ ngày các bậc cha ông an nghỉ, mọi sự vẫn y nguyên như khi trời đất mới được tạo thành."
mơjĭt tŏ ake -sư noh wă pơtih gia kơ mơjĭt 'nu pơtao đơ̆ng rô̆ng wă pơgơ̆r hơdai hăm sơ; ină lu sư pơgơ̆r ưh kơ đunh ôh dangkơ minh jơ đĕch. ||| mười sừng ông đã thấy, là mười vua; chúng chưa nhận được vương quyền, và sẽ nhận được quyền làm vua với. con. thú, trong vòng một giờ.
na dang ei dơ̆ng ih chih kơthơ ăn kơ kră wei-lăng hnam akŭm 'bok. kei-dei tơ. pơlei. sadis, ih chih kơ sư thoi âu: .âu boih 'bok mă đei minh 'nu. yang. bơhngol 'lơ̆ng mă dang tơpơh 'nu, mă sư chĕp tơpơh tŏ sơnglŏng tơ tơpang ti sư noh, na dang, ei sư wă pơma kơ iĕm thoi âu:. inh băt mơ̆n dôm tơdrong lui iĕm thoi yơ. đĭ-đăng bơngai ư-ang kơ iĕm khan iĕm bơngai lui kơjăp; mă tơpă iĕm rơdu dêh dang bơngai wă kơtĕch jơhngơ̆m wă lôch. ||| hãy viết cho thiên thần của. hội. thánh. xác-đê. đây là lời của đấng có bảy. thần. khí. thiên. chúa và bảy ngôi sao:. ta biết các việc ngươi làm, biết ngươi được tiếng là đang sống, mà thực ra đã chết.
na tơdrong âu iĕm athei tơchĕng mă rihên:. tơpơh tŏ kơ̆l noh wă khan, tơpơh tŏ dơng groi cham char bơngai đi oei. ||| đây là lúc cần phải có trí thông minh cùng với sự khôn ngoan. bảy đầu là bảy quả núi trên đó người đàn bà ngồi.
ning-mônh. inh wă pojing tơdrong pơgơ̆p 'nao kơ lu bơngai. isơrael thoi âu:. inh wă tah tơdrong juăt. inh pơkă tơ lăm jơhngơ̆m lu sư, . inh wă chih tơ'băk tơdrong juăt. inh tơ lăm đon tơchĕng lu sư. tơdrong noh boih. kră. yang khan." '. ||| đây là giao ước. ta sẽ lập với chúng sau những ngày đó, thì đức. chúa phán:. ta sẽ ghi vào tâm khảm chúng, sẽ khắc vào lòng trí chúng lề luật của. ta.
o lbei ndy. kra. yang khan kef inh: ||| có lời ðức. chúa phán với tôi rằng:
pơlei noh ưh kơ kăl kơ măt năr dah khei pơchrang ho'dah ăn ôh. yua kơ tơdrong mơsêh 'bok. kei-dei hăm. kon. triu pơchrang ăn hơdah boih. ||| thành chẳng cần mặt trời mặt trăng chiếu sáng, vì đã có vinh quang. thiên. chúa toả rạng, và. con. chiên là ngọn đèn chiếu soi.
srôp akăn" inh rố năng tam iõk akan ưh, inh pơwao đởng ei tơl: ||| bắt vợ" có lẽ là lấy vợ đây, tôi nghĩ và trả lời:
sơlah solang... du kĩch sơlah solang... o... solah solang... o solah solah solang... solah solang". ||| tan hoang... du kích tan hoang... ờ... tan hoang ờ tan hoang... tàn hoang".
sư ưh kơ đei pơm minh tơdrong yoch kiơ, păng sư ưh kơ đei layơ hơlĕnh kơ đe.? ||| người không hề phạm tội; chẳng ai thấy miệng. người nói một lời gian dối.
trô̆ boih lu sư khan thoi noh. bơnê kơ. ih. kră. yang nhôn 'bok. kei-dei. ih 'lơng rŏ mơsêh mơyang pran tih hlôh wao tôm tơdrong, na trô̆ kơ nhôn lui yom păng ư-ang. ih ling-lang ưh kơ layơ tôch. a-men.". ||| rằng: "a-men! xin kính dâng. thiên. chúa chúng ta lời chúc tụng và vinh quang, sự khôn ngoan và lời tạ ơn, danh dự, uy quyền và sức mạnh, đến muôn thuở muôn đời! a-men! "
tổ bá. phời" wă khan khui kơtum kơtỏns anhons oh inh âu. ||| tổ bá. phới" tức là nhóm bà con anh em chúng tôi đây.
ơ 'bok. kei-dei. kră. yang, pôm. ih đĕch mơsêh na trô̆ kơ nhôn lui yom păng ư-ang' kơ. ih tơpă, ỳua kơ. ih gơh pơjing kơdih.lăm tôm tơdrong. j. mă tôm tơdrong kiơ yua kơ. ih wă na. ih pojing hloi.". hla bơạrpăngkon. triu. ||| lạy. chúa là. thiên. chúa chúng con,. ngài xứng đáng lãnh nhận vinh quang, danh dự và uy quyền, vì. ngài đã dựng nên muôn vật, và do ý. ngài muốn, mọi loài liền có và được dựng nên."
apôlê năm tơ. pơlelêphêsô bơtho tơ hnam akũm bơngai. juđê. sư bơtho kữm nuih tơpă mởn. lăp. prisil păng. akila mỡng sư bơtho bre sư anhăk ba sư truh tơ hnam bre sư. bre sư bơtho ãn kơ. apôlê tơdrong 'bok. kei-dei wă kơ sư hlôh băt tôm 'biở. ||| vậy, người khởi-sự giảng cách dạn-dĩ trong nhà hội. bê- rít-sin và. a-qui-la nghe giảng, bèn đem người về với mình, gỉải-bằy đạo đức. chúa. trời cho càng kỹ-lường hơn nữa.
'bok. kla. pang. kop. ||| hổ. và. rùa
'bok. rơh,dăm. h3ủt. păng. yă. kư-ke. ||| bót. ro,. chàng. hrit. và. bà. cu-ké
'ba hơ'bo 'bok. rơh pơtăm đĭ hơdrông sa tâng ưh noh kon kiek bri paĭ khâr, ưh noh trŏ phang pơđăng lăng. ||| lúa bắp nhà lào trồng, hết bị sâu cắn thì bị thú rừng phá hoại, không bị thú rừng phá hoại thì bị đói nắng khát mưa.
'ba hơ'bo hăp pơtăm hon jing wơ 'bơ'blut thoi đe hlôm, lơlan să hloh kơ pêng puân 'măng hơdroi. ||| lúa bắp của. hrit trồng mọc tốt như thổi, lan rộng gấp đôi gấp ba so với lúc mới trồng.
'bar 'blah hơar kok 'nâu 'nŏh mŏ. ||| hai tập giấy trắng này của chị
'bar 'nu bre sư kư̆m pơgơ̆p pơkă 'bơ̆t anăp. kră. yang; na đawit oei lăm. hơres dơ̆ng, gah. jônathan wih brŏk tơ hnam sư. ||| hai người cùng lập giao ước tại trước mặt đức. giê-hô-va; đoạn, đa-vít ở lại trong rừng, còn. giô-na-than trở về nhà mình.
'bar 'nu bơngai hŏk pơhrăm. ||| hai học sinh
'bar 'nu kon drŏ-nglo. hêli jing bơngai kơnê̆ tơpă, bre sư ưh kơ băt hli yom kơ. kră. yang. ||| hai con trai của. hê-li là người gian tà, chẳng nhận biết đức. giê-hô-va.
'bar me mơnuih pơxrăm. ||| hai học sinh
bar sâp blăh hơ ar kŏk hâu 'nŏh mŏ. ||| hai tập giấy trắng này của chị
'bar tŏ 'long prit. ||| hai cây chuối
'bar tŏ hla ar kok "'noh mŏ". ||| hai tập giấy trắng này của chị
'bar tŏ keng păng hu. ||| hai ống loa bằng bạc
'bar tŏ kon angông. ||| hai con ngỗng
'bar tŏ kon kơpô. ||| hai con trâu
'bar tŏ kon sim. ||| hai con ngỗng
'bar tŏ kơ 'bang. ||| hai cái bàn
'bar tŏ kơ pô. ||| hai con trâu
'bar tŏ kơbang. ||| hai cái bàn
'bar tŏ rơmo hor gre yak tơpăt tơ rok trong pơlei. bêt. sêmes, ưh kơ weh tơ 'ma dah tơ 'ngiĕo. lu kră pơgơ̆r bơngai. philistin kiơ̆ lăng đơ̆ng rŏng truh tơ hơdral pơlei. bet. semes. ||| hai con bò cái đi thẳng theo đường về. bết-sê-mết, vừa đi vừa rống, không xây bên hữu, cũng không xây bên tả. các quan trưởng dân. phi-li-tin đi theo nó cho đến bờ cõi. bết-sê-mết.
'bar tŏ trong ngong. ||| hai con ngỗng
'bar tơm prit. ||| hai cây chuối
'bar xâp hla bar kokâu po mơmei. ||| hai tập giấy trắng này của chị
'bar-jĭt puăn 'nu lu đe kră mă oei tơ tang dŏ tăp dăr kơ 'bok. kei-dei 'nap kơkuh kơ 'bok. kei-dei,. ||| hai mươi bốn vị. kỳ. mục ngồi trên ngai trước nhan. thiên. chúa, liền sấp mặt xuống, phủ phục mà thờ lạy. thiên. chúa.
'bih pơjei păng kon bơngai wă gơh erih sot đunh. ||| rắn muốn tranh người để được sông lâu.
'bik tơ kơmăng. ||| nằm màn
'blă 'noh đei lep păr tŏk kiơ̆ 'nhui lĕch đơng sơlŭng noh năm jơ̆p-jang kơ teh đak. lep noh gơh sôch thoi aguăt. ||| từ đám khói ấy, châu chấu bay ra khắp mặt đất. chúng nhận được quyền phép như quyền phép của bọ cạp trên mặt đất.
'blă kơ noh lăm jơhngơ̆m sư hmach kơdih yua kơ kăt iŏk tơdrơi ao pơtao. ||| đoạn, lòng người tự trách về điều mình đã cắt vạt áo tơi của vua.
'blŏk. hơdơ̆r. kơ. năr. giĕng. năm. brih. ||| giữ lễ vượt-qua tại đồng vắng. si-na-i
'bo lah oh! ||| thôi em, đừng hỏi nữa làm gì
'bo lê̆ tơnoh,. giông. ||| thôi kệ,. giông à.
'bok 'noh pơma thoi noh ră mă-lei lu sư ưh kơ mơ̆ng ôh; đơ̆ng noh bơngai tơmoi ei iŏk akăn kơnhŏng sư tơlơ̆ tơ 'nguaih ăn kơ lu sư; lu sư pơm kơnê̆ pơ'brơh kơ drŏ-kăn ei prăt măng truh tơ pơgê, kơplah 'năr wă lĕch lu sư achăng bơngai drŏ-kăn noh. ||| song những kẻ đó không khứng nghe người. người khách bèn bắt vợ bé mình dẫn ra ngoài cho chúng, chúng biết nàng, lăng nhục nàng trọn đêm cho đến sáng; rồi đuổi nàng về khi rạng đông.
'bok ;kei-dei mă' oei tơ tang-dŏ khan: "inh pơjing tôm tơdrong 'nao." sư wih khan dơ̆ng kơ inh thoi âu: "ih chih răk lê̆ dôm tơdrong. inh pơma, yua kơ tơdrong âu sĭt gô đei tơpă iĕm gơh lui.". ||| đấng ngự trên ngai phán: "này đây. ta đổi mới mọi sự.". rồi. người phán: "ngươi hãy viết: đây là những lời đáng tin cậy và chân thật."
'bok. abel sơ̆ yua kơ sư đei đon lui, na sư soi kơ 'bok. kei-dei trŏ thoi ?bok. kei-dei lăp đon. gah 'nhŏng sư. kain sư soi ưh kơ trŏ ôh, .na 'bok. kei-dĕị ưh .kơ lăp đon kơ sư. 'bok. abel sư đei đon lui tơpă, na 'bok. kei-dei jô̆ sư bơngai 'lơ̆ng. thoi noh na 'bok. kei-dei lăp đon kơ tơdrong sư soi noh. 'bok. abel lôch boih, mă-lei đe oei ư-ang sư truh dang ei yua kơ sư đei đon lui. ;. ||| nhờ đức tin, ông. a-ben đã dâng lên. thiên. chúa một hy lễ cao quý hơn hy lễ của ông. ca-in: nhờ tin như vậy, ông. a-ben đã được chứng nhận là người công chính, bởi vì. thiên. chúa đã chấp nhận những lễ phẩm ông dâng. và cũng nhờ tin như thế, mà tuy đã chết rồi, ông vẫn còn lên tiếng.
'bok. bôt krê boih chă trong wă kơdâu ôn, chŏng tam hơmau đưk kơ'nơl jâng plenh teh jing măng mu glĭp glăp. ||| ria tuôn được ít nước nào đều bị rồng cuốn sạch.
'bok. bôt oei srơ srang kơtă ăi bre bă kon truh rôp chô̆ hloi chŏng bĭ pơlôch, to'nglaih lê̆ hăp păng tơtă;. ||| ria hoảng hốt định tìm đường tháo lui, nhưng chưa kịp trở gót, thì trời đất tối tãm mù mịt.
'bok. bôt pă kĕ sĭk mĭl sơkat pơm ŭnh sa puân pah dêh, bre bă kon duh bĭ mơn 'yŭ, pôm pơma kơdih làm to " kuă kiơ đei đak 'mi jur chruih pơđĭ ŭnh" hơdrĕl noh đei 'mi ruih. ||| cha con gấu không hề nao núng, chỉ lẩm bẩm mấy câu làm phù chú là nước đổ xuống như mưa.
'bok. jrot. mam tơl dơ̆ng: ||| ông. jrot. mam lại nói:
'bok. jrot. mam, anhŏng kơ. set, tơring gah kơpơ̆ng kơtơ̆ng đe pơră oh hăp jĭ, năm hơpong. set. ||| ông. jrot. mam, anh trai ông. set, ở làng vùng trên nghe người ta nói ông. set đau ốm, nằm liệt một chỗ thì vội vàng đến thăm ông. set.
'bok. kei. dei wă kơ bơn 'mêm kơ sư tơpă wă kơ bơn huay kơ hli kơplah năr sư wă sek tơiang ning-mônh. bơ̆n ưh kơ hli kơlih kơ bơ̆n oei arih tơ ala teh âu dang ei kư̆m lei-lăi thoi. yêsu arih mơ̆n. ||| căn cứ vào điều này mà tình yêu đã nên hoàn hảo với chúng ta: đó là chúng ta được mạnh dạn trong ngày phán xét, vì đức. giê-su thế nào thì chúng ta cũng như vậy ở thế gian này.
'bok. kei-dei 'bôh lu sư ling-lang pơma 'lơ̆ng.ưh kơ đei pơma hơlĕnh hơya tŏ sĕt, yua kơ lu sưjing bơngai rơgoh 'lŏng boih. linh jangpăr tôk-bŏk rơwơ̆ng bơtho đe. ||| chẳng ai thấy miệng họ nói dối: không ai chê trách họ được. ba thiên thần báo giờ phán xét
'bok. kei-dei 'mêm mơnat kơ bơ̆n tơpă ha sư pơklaih bơ̆n đơ̆ng tơdrong yoch păng sưjô̆ bơ̆n bơngai 'lơ̆ng păng sư boih. sư ăn kơ bơ̆n jing kon sư, na bơ̆n arih ling-lang păng sư ning-mônh. ||| như vậy, một khi nên công chính nhờ ân sủng của đức. ki tô, chúng ta được thừa hưởng sự sống đời đời, như chúng ta vẫn hy vọng.
'bok. kei-dei. kră. yang tih hloh kơ đĭ đăng păng pơgơ̆r tôm tĕch tơdrong, sư đei đơ̆ng sơ̆ khơ̆ dang ei, mă gô jur ning mônh, sư khan thoi âu: "inh thoi chư. a, jĭ blung-a kơla chă hơdrol kơ đĭ-đăng lăm dôm tơdrong. păng. inh kư̆m thoi chư. y, .tuch-luch năr tôch kư̆m oei đei. inh.". yôhan ĩĭôh. yêsu. ||| đức. chúa là. thiên. chúa phán: "ta là. an-pha và ô mê-ga, là đấng hiện có, đã có và đang đến, là đấng. toàn. năng.". thị kiến mở đầu
'bok. kei-dei gô phak lu sư tơpă yua kơ lu sư pơm thoi 'bok. kain sơ. lu sư băt pôm tơdrong pơhlŭ đe wâ kơ sa jên đe apah, thoi 'bok 'balam sơ. lu đe âu ưh kơ chu kơ yŏng sư pơgơ̆r, thoi 'bok. kôrê sơ jing răm hloi. ||| khốn cho họ, bởi họ đi vào con đường của. ca-in; vì chút tiền công, họ đã ngã theo sự lầm lạc của. bi-lơ-am, và bị diệt vong vì làm loạn như. cô-rắc.
'bok. kei-dei jô̆ đĭ-đăng kơ lu sư đei đon lui kơiăp, mă-lei:'kơplah lu sư oei tơ teh sơ, lu sư ưh tam mă đei tơdrong 'bok. kei-dei pơkă ôh. ||| nhờ đức tin, tất cả các nhân vật đó đã được chứng giám, thế mà họ không đạt được những điều. thiên. chúa đã hứa.
'bok. kei-dei khan tơbăt ăn kơ bơ̆n băt kơ sư 'mêm monat kơ bơ̆n tơpă wă pơklaih đĭ-đăng bơngai đơ̆ng tơdrong yoch. ||| quả thế, ân sủng của. thiên. chúa đã được biểu lộ, đem ơn cứu độ đến cho mọi người.
'bok. kei-dei khan: 'ơ lu iẽm bơngai che bơle kơ. inh, iẽm lăng, iẽm gô sơleng kơ đon, pă tam băt.kơnh iẽm lôch. inh pơm tơdrong mơsêh mơyang làm » chăl iẽm arih, đe gô roi kơ ièm tơdrong noh, mã- lei iẽm ưh kơ wă lui.'". ||| hỡi kẻ hay khinh-dể kia, khá xemxét, sợ-hãi và biến mắt đi;,a). vì ưong đời cảc ngươi, ta sẽ làm một việc,. nếu có ai thuật lại cho, các ngươi cũng chẳng tin
'bok. kei-dei krao iŏk bơ̆n wă kơ bơ̆n iô̆k jơhngơ̆m đon dim gơh găt kuă ăn pơm kơnê̆ kơ đe mă khan đe pơm kơnê̆ kơ bơ̆n. yêsu. krist đei tơdrong gleh pơmat-tat thoi noh mơ̆n sơ̆ yua wă tơgŭm bơ̆n. mă-lei-sư ưh kơ đei pơm kơnê̆ kơ đe ôh, sư pơm ttong wă kơ bơ̆n rok kiơ̆ sư. ||| anh em được. thiên. chúa gọi để sống như thế. thật vậy, đức. ki-tô đã chịu đau khổ vì anh em, để lại một gương mẫu cho anh em dõi bước theo. người.
'bok. kei-dei kư̆m pơkă kơ bơ̆n gơh mơ̆t pơdơh tơ dêh char sư, thoi noh na bơ̆n athei kơchăng tơpă hli kơ bơ̆n lê̆ tơdrong lui, sư ưh kơ ăn mơ̆t. ||| vậy chúng ta phải sợ rằng trong khi lời hứa được vào chốn yên nghỉ của. người vẫn còn đó, mà có ai trong anh em bị coi đã mất cơ hội.
'bok. kei-dei oei hăm bŏn, ăn kơ bơ̆n hiôk-hian. sư toĭưng arih. yŏng bơ̆n. yêsu. krist, 'bok tnă wei triu 'lŏng rŏ tơpă, yua kơ 'bok noh soi kơ 'bok. kei-dei pham sư kơdih wă pơgơ̆p bơ̆n hăm 'bok. kei-dei ling lang. ||| thiên. chúa là nguồn mạch bình an đã đưa đức. giê su,. chúa chúng ta ra khỏi cái chết. đức. giê-su là vị. mục. tử cao cả của đoàn chiên, là đấng đã đổ máu mình ra để thiết lập giao ước vĩnh cửu.
'bok. kei-dei pơjing tôm tơdrong. tôm tơdrong sư pojing, noh sư wă kơ đe ư-ang kơ sư. thoi noh na trô̆ kơ sư ăn kơ. yêsu đei tơdrong pơmat-tat, wă kơ. yêsu iŏk tôm tơdrong thoi kon bơngai bơ̆n wă kơ sư gơh anhăk ba lơ bơngai klaih đơ̆ng tơdrong yoch. thoi noh na đĭ-đăng lu kon sư nai kư̆m hiôk lei-lăi thoi. yêsu. ||| quả thế,. thiên. chúa là nguồn gốc và cùng đích mọi loài, chính vì muốn đưa muôn vàn con cái đến vinh quang, nên. người đã làm một việc thích đáng, là cho đức. giê-su trải qua gian khổ mà trở thành vị lãnh đạo thập toàn, dẫn đưa họ tới nguồn ơn cứu độ.
'bok. kei-dei pơkă wă tơgŭm bơ̆n tơ̆drohg noh, sư pao anăn sư kơdih hloi; ha bơ̆n băt kơ tơdrong sư pơkă noh sư ưh kơ gơh lê̆ ôh, yua kơ̆sư ưh kơiah hơlĕnh. thoi noh na lu bơ̆n mă kơdâu kơhơ̆p tơ akâu sư, bơ̆n băt kơ. sư wă tơgŭm bơ̆n tơpă. ||| như vậy, cả lời hứa lẫn lời thề đều bất di bất dịch, và khi thề hứa,. thiên. chúa không thể nói dối được. do đó, chúng ta là những kẻ ẩn náu bên. thiên. chúa, chúng ta được mạnh mẽ khuyến khích nắm giữ niềm hy vọng dành cho chúng ta.
'bok. kei-dei pơkă wă ăn kơ sư pơm 'bă kơ đĩ-đăng teh đak pàng khan kơ sư, kon sâu sưning-mônh lơ thoi lẽ sơnglồng tơ plẽnh. kởplah noh sỡ. abraham,sư đei minh-hrẽng sơnăm boih, mă-lei sư ưh tam mă đei kon ôh. sư krà pã kẽ boih, akâu sư dang lẽ kơ lôch. gah akàn sư yà. sara kữm kră mởn păng sư akâu pôm tăm, thoi yơ 'bok. kei-dei pơkă kơ sư khan pơm 'bă kơ đĩ-đăng teh đak? tơdrong noh, tơng bơn, ưh kơ gan wă lui' ôh. mă-lei sư lui kơ nỡr 'bok. kei-dei pơkă kơsưnoh, sư ưh kơhiơt ôh dôm tơdrong 'bok. kei-dei pơkà. ||| người cậy-trông khi chẳng còn lẽ ưông-cậy, cứ tin, và ưở nên cha của nhiều dàn-tộc, theo lời đã phân cho người rằng:. dòng-dõi ngươi sẽ như thể ấy? 'người thấy thân-thể mình hao-mòn, vì đã gần đầy trăm tuổi, và thấy. sa-ra không thể sanh-đẻ được nữa, song đức-tin chẳng kém?
'bok. kei-dei pơm trŏ thoi sư pơkă, sư pơm tơpăt ling-lang. kơlih kơ thoi noh na bơ̆n dah roi tơdrong yoch bơ̆n kơ sư, na sư gô pơklaih bơ̆n đơ̆ng tơdrong yoch" tơpă păng 'nhao jơhngơ̆m bơ̆n đơ̆ng dôm tơdrong kơnê̆. ||| nếu chúng ta thú nhận tội lỗi,. thiên. chúa là đấng trung thành và công chính sẽ tha tội cho chúng ta, và sẽ thanh tẩy chúng ta sạch mọi điều bất chính.
'bok. kei-dei pơma dơ̆ng gah tơdrohg pơgơ̆p 'nao, sư jô̆ kơ tơdrong pơgơ̆p hơdrol sơ̆ thoi lĕ kơ so boih. tơdrong kiơ so, tơdrong noh wă jê̆ hiong tôch boih. ||| khi. thiên. chúa nói đến. giao ước. mới,. người làm cho giao ước thứ nhất hoá ra giao ước cũ; và cái gì cũ kỹ, lỗi thời, thì sắp tan biến đi.
